"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.79","0.061","0","within","yes","5.58744606728699","1"
"ESN","G","GEM","0","32","2367","0.911","0.096","0","within","yes","6.24659608345527","2"
"ESN","G","EMG","0","54","2345","0.842","0.092","0","within","yes","5.7484013037932","3"
"ESN","G","MGD","0","47","2352","0.366","0.062","0","within","yes","2.33001866180417","4"
"ESN","S","EMB","0","364","2035","0.498","0.025","0","within","yes","3.62532508892558","5"
"ESN","S","MSD","0","13","2386","0.473","0.064","0","within","yes","3.13479484433522","6"
"ESN","L","NHM","0","17","2382","0.696","0.019","0","within","yes","5.18889024355732","7"
"ESN","L","SRL","0","155","2244","0.329","0.031","0","within","yes","2.28403145137383","8"
"MRP","V","GER","0","60","2339","0.187","0.056","0","within","yes","1.00405409439588","9"
"MRP","V","NLS","0","127","2272","0.164","0.052","0","within","yes","0.858427928033117","10"
"MRP","V","PIG","0","248","2151","0.159","0.038","0","within","yes","0.927408743678635","11"
"MRP","V","GRS","0","272","2127","0.149","0.047","0","within","yes","0.781782577315875","12"
"MRP","V","ROT","0","199","2200","0.195","0.05","0","within","yes","1.11135758540002","13"
"MRP","V","LEF","0","246","2153","0.191","0.044","0","within","yes","1.12668665554347","14"
"MRP","V","IST","0","94","2305","0.235","0.045","0","within","yes","1.45626166362761","15"
"MRP","V","ARC","0","93","2306","0.189","0.05","0","within","yes","1.06537037496967","16"
"MRP","V","MSL","0","62","2337","0.115","0.05","0","within","yes","0.498194779662077","17"
"MRP","R","FSM","0","147","2252","0.14","0.044","0","within","yes","0.735795366885529","18"
"MRP","R","OVP","0","33","2366","0.243","0.036","0","within","yes","1.58655875984692","19"
"MRP","R","SRF","0","197","2202","0.19","0.043","0","within","yes","1.12668665554347","20"
"MRP","R","SSC","0","40","2359","0.234","0.031","0","within","yes","1.55590061956002","21"
"MRP","T","FLT","0","151","2249","0.281","0.041","0","within","yes","1.83948841721382","22"
"MRP","T","SEN","0","39","2360","0.243","0.048","0","within","yes","1.49458433898623","23"
"MRP","T","CDR","0","13","2386","0.47","0.047","0","within","yes","3.24209833533936","24"
"MRP","T","MTM","0","7","2392","0.226","0.034","0","within","yes","1.47159073377106","25"
"CLB","C","STT","0","77","2322","0.145","0.039","0","within","yes","0.812440717602771","26"
"CLB","C","RTH","0","53","2346","0.385","0.044","0","within","yes","2.61360645945797","27"
"CLB","C","TCM","0","97","2302","0.143","0.052","0","within","yes","0.697472691526908","28"
"CLB","C","CUL","0","74","2325","0.081","0.042","0","within","yes","0.298916867797246","29"
"CLB","B","PRA","0","124","2275","0.276","0.033","0","within","yes","1.862482022429","30"
"CLB","B","CPR","0","68","2331","0.117","0.025","0","within","yes","0.705137226598632","31"
"CND","P","WAT","0","40","2359","0.432","0.086","0","within","yes","2.65192913481659","32"
"CND","P","TMP","0","71","2328","0.326","0.073","0","within","yes","1.93912737314624","33"
"CND","P","LIT","0","146","2253","0.21","0.05","0","within","yes","1.22632561147588","34"
"CND","P","MEC","0","13","2386","0.132","0.06","0.038","within","yes","0.551846525164147","35"
"CND","P","MPH","0","18","2381","0.241","0.074","0","within","yes","1.27997735697795","36"
"CND","H","NUT","0","109","2290","0.249","0.071","0","within","yes","1.36428724276692","37"
"CND","H","HRM","0","152","2247","0.355","0.074","0","within","yes","2.15373435515452","38"
"CND","H","CHS","0","190","2209","0.367","0.067","0","within","yes","2.29936052151728","39"
"CND","H","MCH","0","28","2371","0.471","0.094","0","within","yes","2.88952972204005","40"
"CND","I","PTH","0","137","2262","0.35","0.056","0","within","yes","2.25337331108693","41"
"CND","I","OBI","0","6","2393","0.467","0.078","0","within","yes","2.98150414290074","42"
"ESN","G","all","1","208","2202","0.638","0.041","0","within","yes","4.57572743781938","0"
"ESN","S","all","1","377","2022","0.473","0.025","0","within","yes","3.43371171213247","0"
"ESN","L","all","1","172","2228","0.278","0.029","0","within","yes","1.90846923285934","0"
"MRP","V","all","1","1401","1581","0.081","0.037","0","within","yes","0.337239543155867","0"
"MRP","R","all","1","417","2061","0.111","0.037","0","within","yes","0.567175595307595","0"
"MRP","T","all","1","210","2204","0.208","0.04","0","within","yes","1.28764189204968","0"
"CLB","C","all","1","301","2132","0.096","0.041","0","within","yes","0.421549428944834","0"
"CLB","B","all","1","192","2212","0.149","0.03","0","within","yes","0.912079673535187","0"
"CND","P","all","1","288","2125","0.162","0.057","0","within","yes","0.804776182531047","0"
"CND","H","all","1","479","1982","0.285","0.044","0","within","yes","1.84715295228555","0"
"CND","I","all","1","143","2256","0.343","0.056","0","within","yes","2.19972156558486","0"
