"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.883","0.553","0","within","yes","2.70339986903107","1"
"ESN","G","GEM","0","32","2367","0.93","0.583","0","within","yes","2.84266592289025","2"
"ESN","G","EMG","0","54","2345","0.878","0.586","0","within","yes","2.39209927805174","3"
"ESN","G","MGD","0","47","2352","0.713","0.562","0","within","yes","1.2370102431021","4"
"ESN","S","EMB","0","364","2035","0.85","0.559","0","within","yes","2.38390715723649","5"
"ESN","S","MSD","0","13","2386","0.715","0.573","0","within","yes","1.16328115576489","6"
"ESN","L","NHM","0","17","2382","0.853","0.572","0","within","yes","2.30198594908403","7"
"ESN","L","SRL","0","155","2244","0.711","0.572","0","within","yes","1.13870479331915","8"
"MRP","V","GER","0","60","2339","0.633","0.563","0","within","yes","0.573448457067198","9"
"MRP","V","NLS","0","127","2272","0.614","0.549","0","within","yes","0.532487852990968","10"
"MRP","V","PIG","0","248","2151","0.64","0.545","0","within","yes","0.778251477448339","11"
"MRP","V","GRS","0","272","2127","0.545","0.532","0","within","yes","0.106497570598194","12"
"MRP","V","ROT","0","199","2200","0.621","0.549","0","within","yes","0.589832698697688","13"
"MRP","V","LEF","0","246","2153","0.626","0.542","0","within","yes","0.688138148480636","14"
"MRP","V","IST","0","94","2305","0.672","0.54","0","within","yes","1.08135994761243","15"
"MRP","V","ARC","0","93","2306","0.636","0.543","0","within","yes","0.761867235817847","16"
"MRP","V","MSL","0","62","2337","0.564","0.541","0","within","yes","0.18841877875065","17"
"MRP","R","FSM","0","147","2252","0.625","0.542","0","within","yes","0.679946027665391","18"
"MRP","R","OVP","0","33","2366","0.669","0.573","0","within","yes","0.786443598263585","19"
"MRP","R","SRF","0","197","2202","0.612","0.55","0","within","yes","0.507911490545231","20"
"MRP","R","SSC","0","40","2359","0.659","0.562","0","within","yes","0.79463571907883","21"
"MRP","T","FLT","0","151","2249","0.643","0.528","0","within","yes","0.942093893753252","22"
"MRP","T","SEN","0","39","2360","0.593","0.531","0","within","yes","0.507911490545231","23"
"MRP","T","CDR","0","13","2386","0.754","0.544","0","within","yes","1.72034537120159","24"
"MRP","T","MTM","0","7","2392","0.648","0.557","0.003","within","yes","0.745482994187356","25"
"CLB","C","STT","0","77","2322","0.637","0.559","0","within","yes","0.638985423589162","26"
"CLB","C","RTH","0","53","2346","0.698","0.557","0","within","yes","1.15508903494964","27"
"CLB","C","TCM","0","97","2302","0.604","0.546","0","within","yes","0.475143007284249","28"
"CLB","C","CUL","0","74","2325","0.594","0.558","0","within","yes","0.294916349348844","29"
"CLB","B","PRA","0","124","2275","0.646","0.538","0","within","yes","0.884749048046533","30"
"CLB","B","CPR","0","68","2331","0.658","0.555","0","within","yes","0.843788443970304","31"
"CND","P","WAT","0","40","2359","0.687","0.551","0","within","yes","1.11412843087341","32"
"CND","P","TMP","0","71","2328","0.656","0.541","0","within","yes","0.942093893753252","33"
"CND","P","LIT","0","146","2253","0.596","0.526","0","within","yes","0.573448457067197","34"
"CND","P","MEC","0","13","2386","0.591","0.556","0.176","within","no","0.286724228533598","35"
"CND","P","MPH","0","18","2381","0.579","0.531","0","within","yes","0.393221799131792","36"
"CND","H","NUT","0","109","2290","0.622","0.526","0","within","yes","0.786443598263584","37"
"CND","H","HRM","0","152","2247","0.679","0.536","0","within","yes","1.17147327658013","38"
"CND","H","CHS","0","190","2209","0.671","0.525","0","within","yes","1.19604963902587","39"
"CND","H","MCH","0","28","2371","0.75","0.545","0","within","yes","1.67938476712536","40"
"CND","I","PTH","0","137","2262","0.739","0.556","0","within","yes","1.49915810918996","41"
"CND","I","OBI","0","6","2393","0.789","0.572","0","within","yes","1.77769021690831","42"
"ESN","G","all","1","208","2202","0.812","0.554","0","within","yes","2.11356717033338","0"
"ESN","S","all","1","377","2022","0.839","0.558","0","within","yes","2.30198594908403","0"
"ESN","L","all","1","172","2228","0.702","0.571","0","within","yes","1.07316782679718","0"
"MRP","V","all","1","1401","1581","0.567","0.539","0","within","yes","0.229379382826878","0"
"MRP","R","all","1","417","2061","0.595","0.548","0","within","yes","0.385029678316546","0"
"MRP","T","all","1","210","2204","0.615","0.528","0","within","yes","0.712714510926373","0"
"CLB","C","all","1","301","2132","0.593","0.552","0","within","yes","0.335876953425072","0"
"CLB","B","all","1","192","2212","0.63","0.542","0","within","yes","0.720906631741619","0"
"CND","P","all","1","288","2125","0.579","0.533","0","within","yes","0.3768375575013","0"
"CND","H","all","1","479","1982","0.647","0.52","0","within","yes","1.0403993435362","0"
"CND","I","all","1","143","2256","0.737","0.555","0","within","yes","1.49096598837471","0"
