"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.588","0.036","0","within","yes","6.38438056211281","1"
"ESN","G","GEM","0","32","2367","0.747","0.064","0","within","yes","7.89951435493306","2"
"ESN","G","EMG","0","54","2345","0.6","0.057","0","within","yes","6.28028740077401","3"
"ESN","G","MGD","0","47","2352","0.23","0.034","0","within","yes","2.26691773582266","4"
"ESN","S","EMB","0","364","2035","0.369","0.015","0","within","yes","4.0943310126593","5"
"ESN","S","MSD","0","13","2386","0.312","0.032","0","within","yes","3.23845390831809","6"
"ESN","L","NHM","0","17","2382","0.555","0.009","0","within","yes","6.31498512122028","7"
"ESN","L","SRL","0","155","2244","0.228","0.017","0","within","yes","2.44040633805399","8"
"MRP","V","GER","0","60","2339","0.111","0.027","0","within","yes","0.971536172495427","9"
"MRP","V","NLS","0","127","2272","0.085","0.025","0","within","yes","0.693954408925305","10"
"MRP","V","PIG","0","248","2151","0.1","0.02","0","within","yes","0.92527254523374","11"
"MRP","V","GRS","0","272","2127","0.081","0.023","0","within","yes","0.670822595294462","12"
"MRP","V","ROT","0","199","2200","0.103","0.024","0","within","yes","0.913706638418318","13"
"MRP","V","LEF","0","246","2153","0.089","0.022","0","within","yes","0.774915756633257","14"
"MRP","V","IST","0","94","2305","0.134","0.022","0","within","yes","1.29538156332724","15"
"MRP","V","ARC","0","93","2306","0.105","0.023","0","within","yes","0.948404358864583","16"
"MRP","V","MSL","0","62","2337","0.059","0.024","0","within","yes","0.404806738539761","17"
"MRP","R","FSM","0","147","2252","0.072","0.021","0","within","yes","0.589861247586509","18"
"MRP","R","OVP","0","33","2366","0.146","0.017","0","within","yes","1.49200197918941","19"
"MRP","R","SRF","0","197","2202","0.115","0.021","0","within","yes","1.08719524064964","20"
"MRP","R","SSC","0","40","2359","0.156","0.016","0","within","yes","1.61922695415905","21"
"MRP","T","FLT","0","151","2249","0.169","0.02","0","within","yes","1.72332011549784","22"
"MRP","T","SEN","0","39","2360","0.147","0.023","0","within","yes","1.4341724451123","23"
"MRP","T","CDR","0","13","2386","0.309","0.023","0","within","yes","3.30784934921062","24"
"MRP","T","MTM","0","7","2392","0.138","0.015","0","within","yes","1.42260653829688","25"
"CLB","C","STT","0","77","2322","0.078","0.019","0","within","yes","0.682388502109883","26"
"CLB","C","RTH","0","53","2346","0.21","0.021","0","within","yes","2.18595638811471","27"
"CLB","C","TCM","0","97","2302","0.07","0.024","0","within","yes","0.532031713509401","28"
"CLB","C","CUL","0","74","2325","0.049","0.02","0","within","yes","0.335411297647231","29"
"CLB","B","PRA","0","124","2275","0.156","0.017","0","within","yes","1.60766104734362","30"
"CLB","B","CPR","0","68","2331","0.084","0.012","0","within","yes","0.832745290710366","31"
"CND","P","WAT","0","40","2359","0.239","0.039","0","within","yes","2.31318136308435","32"
"CND","P","TMP","0","71","2328","0.174","0.034","0","within","yes","1.61922695415904","33"
"CND","P","LIT","0","146","2253","0.114","0.025","0","within","yes","1.02936570657254","34"
"CND","P","MEC","0","13","2386","0.088","0.028","0.035","within","yes","0.693954408925305","35"
"CND","P","MPH","0","18","2381","0.107","0.031","0","within","yes","0.879008917972053","36"
"CND","H","NUT","0","109","2290","0.126","0.033","0","within","yes","1.07562933383422","37"
"CND","H","HRM","0","152","2247","0.177","0.034","0","within","yes","1.65392467460531","38"
"CND","H","CHS","0","190","2209","0.158","0.03","0","within","yes","1.48043607237398","39"
"CND","H","MCH","0","28","2371","0.228","0.043","0","within","yes","2.13969276085302","40"
"CND","I","PTH","0","137","2262","0.202","0.026","0","within","yes","2.03559959951423","41"
"CND","I","OBI","0","6","2393","0.346","0.04","0","within","yes","3.53916748551906","42"
"ESN","G","all","1","208","2202","0.419","0.024","0","within","yes","4.56853319209159","0"
"ESN","S","all","1","377","2022","0.349","0.015","0","within","yes","3.86301287635086","0"
"ESN","L","all","1","172","2228","0.193","0.016","0","within","yes","2.04716550632965","0"
"MRP","V","all","1","1401","1581","0.043","0.019","0","within","yes","0.277581763570122","0"
"MRP","R","all","1","417","2061","0.063","0.018","0","within","yes","0.520465806693979","0"
"MRP","T","all","1","210","2204","0.122","0.019","0","within","yes","1.19128840198844","0"
"CLB","C","all","1","301","2132","0.049","0.02","0","within","yes","0.335411297647231","0"
"CLB","B","all","1","192","2212","0.086","0.015","0","within","yes","0.821179383894944","0"
"CND","P","all","1","288","2125","0.081","0.027","0","within","yes","0.624558968032775","0"
"CND","H","all","1","479","1982","0.131","0.022","0","within","yes","1.26068384288097","0"
"CND","I","all","1","143","2256","0.197","0.026","0","within","yes","1.97777006543712","0"
