"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.669","0.099","0","within","yes","4.95016192705461","1"
"ESN","G","GEM","0","32","2367","0.581","0.124","0","within","yes","3.96881403625255","2"
"ESN","G","EMG","0","54","2345","0.438","0.107","0","within","yes","2.87456771553522","3"
"ESN","G","MGD","0","47","2352","0.31","0.1","0","within","yes","1.82374386786222","4"
"ESN","S","EMB","0","364","2035","0.416","0.08","0","within","yes","2.91799018857956","5"
"ESN","S","MSD","0","13","2386","0.323","0.096","0","within","yes","1.97138027621298","6"
"ESN","L","NHM","0","17","2382","0.033","0.041","0","between","yes","-0.0694759568709419","7"
"ESN","L","SRL","0","155","2244","0.165","0.079","0","within","yes","0.746866536362625","8"
"MRP","V","GER","0","60","2339","0.19","0.077","0","within","yes","0.981347890802054","9"
"MRP","V","NLS","0","127","2272","0.15","0.081","0","within","yes","0.599230128011874","10"
"MRP","V","PIG","0","248","2151","0.175","0.085","0","within","yes","0.781604514798096","11"
"MRP","V","GRS","0","272","2127","0.289","0.083","0","within","yes","1.78900588942675","12"
"MRP","V","ROT","0","199","2200","0.168","0.088","0","within","yes","0.694759568709419","13"
"MRP","V","LEF","0","246","2153","0.165","0.085","0","within","yes","0.694759568709419","14"
"MRP","V","IST","0","94","2305","0.198","0.084","0","within","yes","0.990032385410922","15"
"MRP","V","ARC","0","93","2306","0.21","0.081","0","within","yes","1.12029980454394","16"
"MRP","V","MSL","0","62","2337","0.183","0.092","0","within","yes","0.790289009406964","17"
"MRP","R","FSM","0","147","2252","0.138","0.077","0","within","yes","0.529754171140932","18"
"MRP","R","OVP","0","33","2366","0.094","0.062","0","within","yes","0.277903827483768","19"
"MRP","R","SRF","0","197","2202","0.243","0.088","0","within","yes","1.3460966643745","20"
"MRP","R","SSC","0","40","2359","0.196","0.07","0","within","yes","1.09424632071733","21"
"MRP","T","FLT","0","151","2249","0.269","0.071","0","within","yes","1.71952993255581","22"
"MRP","T","SEN","0","39","2360","0.225","0.08","0","within","yes","1.25925171828582","23"
"MRP","T","CDR","0","13","2386","0.242","0.052","0","within","yes","1.65005397568487","24"
"MRP","T","MTM","0","7","2392","0.038","0.032","0.232","within","no","0.0521069676532064","25"
"CLB","C","STT","0","77","2322","0.123","0.07","0","within","yes","0.46027821426999","26"
"CLB","C","RTH","0","53","2346","0.324","0.085","0","within","yes","2.07559421151939","27"
"CLB","C","TCM","0","97","2302","0.13","0.083","0","within","yes","0.408171246616784","28"
"CLB","C","CUL","0","74","2325","0.125","0.07","0","within","yes","0.477647203487725","29"
"CLB","B","PRA","0","124","2275","0.059","0.041","0","within","yes","0.156320902959619","30"
"CLB","B","CPR","0","68","2331","0.051","0.032","0","within","yes","0.165005397568487","31"
"CND","P","WAT","0","40","2359","0.171","0.069","0","within","yes","0.885818450104509","32"
"CND","P","TMP","0","71","2328","0.072","0.055","0","within","yes","0.147636408350751","33"
"CND","P","LIT","0","146","2253","0.17","0.069","0","within","yes","0.877133955495641","34"
"CND","P","MEC","0","13","2386","0.1","0.077","0.754","within","no","0.199743376003958","35"
"CND","P","MPH","0","18","2381","0.12","0.077","0","within","yes","0.373433268181313","36"
"CND","H","NUT","0","109","2290","0.048","0.044","0","within","yes","0.034737978435471","37"
"CND","H","HRM","0","152","2247","0.284","0.072","0","within","yes","1.84111285707996","38"
"CND","H","CHS","0","190","2209","0.148","0.057","0","within","yes","0.790289009406964","39"
"CND","H","MCH","0","28","2371","0.112","0.047","0","within","yes","0.564492149576403","40"
"CND","I","PTH","0","137","2262","0.092","0.036","0","within","yes","0.486331698096593","41"
"CND","I","OBI","0","6","2393","0.263","0.062","0","within","yes","1.74558341638241","42"
"ESN","G","all","1","208","2202","0.429","0.086","0","within","yes","2.97878165084163","0"
"ESN","S","all","1","377","2022","0.4","0.079","0","within","yes","2.78772276944654","0"
"ESN","L","all","1","172","2228","0.143","0.075","0","within","yes","0.590545633403006","0"
"MRP","V","all","1","1401","1581","0.129","0.072","0","within","yes","0.495016192705461","0"
"MRP","R","all","1","417","2061","0.145","0.077","0","within","yes","0.590545633403006","0"
"MRP","T","all","1","210","2204","0.21","0.068","0","within","yes","1.23319823445922","0"
"CLB","C","all","1","301","2132","0.107","0.076","0","within","yes","0.2692193328749","0"
"CLB","B","all","1","192","2212","0.045","0.038","0","within","yes","0.0607914622620741","0"
"CND","P","all","1","288","2125","0.099","0.066","0","within","yes","0.286588322092635","0"
"CND","H","all","1","479","1982","0.112","0.054","0","within","yes","0.503700687314329","0"
"CND","I","all","1","143","2256","0.092","0.036","0","within","yes","0.486331698096593","0"
