"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Cellular and Biochemical","Biochemical","0","CPR","68","2331","0.071","0.007","0","within","yes","0.42471682700673","31","68","2331","0.083","0.007","0","within","yes","0.50454558924055","31","68","2331","0.19","0.07","0","within","yes","0.785908640074653","31","68","2331","0.067","0.007","0","within","yes","0.884935546512588","31","68","2331","0.189","0.063","0","within","yes","1.23394029212732","31","68","2331","0.651","0.553","0","within","yes","1.00948435853262","31","68","2331","0.078","0.013","0","within","yes","0.672606407303401","31","68","2331","0.116","0.025","0","within","yes","0.642128604586137","31"
"Cellular and Biochemical","Biochemical","0","PRA","124","2275","0.16","0.013","0","within","yes","0.975521462031082","30","124","2275","0.064","0.007","0","within","yes","0.378409191930413","30","124","2275","0.281","0.078","0","within","yes","1.32949544945962","30","124","2275","0.028","0.005","0","within","yes","0.339225292829825","30","124","2275","0.084","0.047","0","within","yes","0.362347546100879","30","124","2275","0.652","0.546","0","within","yes","1.09189124494345","30","124","2275","0.147","0.019","0","within","yes","1.32451723284362","30","124","2275","0.252","0.035","0","within","yes","1.53122974939771","30"
"Cellular and Biochemical","Biochemical","1","all","192","2212","0.08","0.011","0","within","yes","0.457897829116631","0","192","2212","0.041","0.007","0","within","yes","0.225717763607615","0","192","2212","0.17","0.076","0","within","yes","0.615628434725145","0","192","2212","0.03","0.005","0","within","yes","0.368723144380245","0","192","2212","0.102","0.051","0","within","yes","0.499452023003914","0","192","2212","0.63","0.546","0","within","yes","0.865272307313677","0","192","2212","0.085","0.016","0","within","yes","0.713997570829764","0","192","2212","0.143","0.03","0","within","yes","0.797368487013555","0"
"Cellular and Biochemical","Cellular","0","CUL","74","2325","0.037","0.025","0.012","within","yes","0.0796344050637618","29","74","2325","0.07","0.034","0","within","yes","0.238995279113945","29","74","2325","0.199","0.095","0","within","yes","0.681120821398033","29","74","2325","0.046","0.009","0","within","yes","0.545710253682762","29","74","2325","0.155","0.074","0","within","yes","0.793247330653276","29","74","2325","0.62","0.567","0","within","yes","0.545945622471726","29","74","2325","0.05","0.026","0","within","yes","0.248346981158179","29","74","2325","0.081","0.051","0","within","yes","0.211690748764661","29"
"Cellular and Biochemical","Cellular","0","RTH","53","2346","0.12","0.01","0","within","yes","0.729982046417817","27","53","2346","0.117","0.017","0","within","yes","0.663875775316514","27","53","2346","0.264","0.1","0","within","yes","1.07407514143536","27","53","2346","0.27","0.041","0","within","yes","3.37750400252304","27","53","2346","0.384","0.123","0","within","yes","2.55601917654944","27","53","2346","0.701","0.567","0","within","yes","1.38031534738134","27","53","2346","0.204","0.024","0","within","yes","1.86260235868634","27","53","2346","0.371","0.049","0","within","yes","2.27214737007402","27"
"Cellular and Biochemical","Cellular","0","STT","77","2322","0.034","0.01","0","within","yes","0.159268810127524","26","77","2322","0.066","0.041","0","within","yes","0.165968943829128","26","77","2322","0.146","0.115","0","within","yes","0.203026398685952","26","77","2322","0.07","0.02","0","within","yes","0.73744628876049","26","77","2322","0.189","0.096","0","within","yes","0.91076545371302","26","77","2322","0.651","0.571","0","within","yes","0.824068864108265","26","77","2322","0.076","0.021","0","within","yes","0.569128498487493","26","77","2322","0.142","0.042","0","within","yes","0.705635829215535","26"
"Cellular and Biochemical","Cellular","0","TCM","97","2302","0.034","0.019","0","within","yes","0.0995430063297023","28","97","2302","0.102","0.05","0","within","yes","0.345215403164587","28","97","2302","0.164","0.113","0","within","yes","0.334011172031728","28","97","2302","0.092","0.029","0","within","yes","0.929182323838217","28","97","2302","0.176","0.094","0","within","yes","0.803040507574921","28","97","2302","0.616","0.558","0","within","yes","0.597449926478491","28","97","2302","0.072","0.027","0","within","yes","0.465650589671585","28","97","2302","0.146","0.058","0","within","yes","0.620959529709671","28"
"Cellular and Biochemical","Cellular","1","all","301","2132","0.02","0.017","0","within","yes","0.0199086012659405","0","301","2132","0.052","0.038","0","within","yes","0.0929426085443119","0","301","2132","0.131","0.108","0","within","yes","0.150632489347642","0","301","2132","0.058","0.021","0","within","yes","0.545710253682762","0","301","2132","0.167","0.089","0","within","yes","0.76386779988834","0","301","2132","0.605","0.563","0","within","yes","0.432636153656839","0","301","2132","0.049","0.023","0","within","yes","0.26904256292136","0","301","2132","0.097","0.047","0","within","yes","0.352817914607768","0"
"Conditional","Chemical","0","CHS","190","2209","0.287","0.033","0","within","yes","1.68559490718296","39","190","2209","0.08","0.02","0","within","yes","0.398325465189908","39","190","2209","0.194","0.087","0","within","yes","0.700768537399899","39","190","2209","0.005","0.005","0","between","yes","0","39","190","2209","0.067","0.042","0","within","yes","0.244829423041135","39","190","2209","0.653","0.533","0","within","yes","1.2361032961624","39","190","2209","0.164","0.034","0","within","yes","1.3452128146068","39","190","2209","0.302","0.068","0","within","yes","1.65118784036435","39"
"Conditional","Chemical","0","HRM","152","2247","0.172","0.025","0","within","yes","0.975521462031082","38","152","2247","0.094","0.022","0","within","yes","0.47799055822789","38","152","2247","0.319","0.074","0","within","yes","1.60456347348575","38","152","2247","0.016","0.011","0.229","within","no","0.073744628876049","38","152","2247","0.135","0.053","0","within","yes","0.803040507574921","38","152","2247","0.642","0.525","0","within","yes","1.20520071375834","38","152","2247","0.174","0.038","0","within","yes","1.40729955989635","38","152","2247","0.324","0.075","0","within","yes","1.75703321474668","38"
