"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.76","0.1","0","within","yes","4.65719647282253","1"
"ESN","G","GEM","0","32","2367","0.873","0.146","0","within","yes","5.12997247839694","2"
"ESN","G","EMG","0","54","2345","0.816","0.137","0","within","yes","4.79126728037348","3"
"ESN","G","MGD","0","47","2352","0.375","0.081","0","within","yes","2.07456933789367","4"
"ESN","S","EMB","0","364","2035","0.65","0.052","0","within","yes","4.2197022587089","5"
"ESN","S","MSD","0","13","2386","0.46","0.098","0","within","yes","2.55440170176024","6"
"ESN","L","NHM","0","17","2382","0.683","0.022","0","within","yes","4.66425283111469","7"
"ESN","L","SRL","0","155","2244","0.336","0.04","0","within","yes","2.08868205447798","8"
"MRP","V","GER","0","60","2339","0.192","0.06","0","within","yes","0.931439294564507","9"
"MRP","V","NLS","0","127","2272","0.171","0.058","0","within","yes","0.797368487013555","10"
"MRP","V","PIG","0","248","2151","0.158","0.046","0","within","yes","0.7903121287214","11"
"MRP","V","GRS","0","272","2127","0.151","0.051","0","within","yes","0.705635829215535","12"
"MRP","V","ROT","0","199","2200","0.198","0.056","0","within","yes","1.00200287748606","13"
"MRP","V","LEF","0","246","2153","0.173","0.051","0","within","yes","0.860875711642953","14"
"MRP","V","IST","0","94","2305","0.248","0.054","0","within","yes","1.36893350867814","15"
"MRP","V","ARC","0","93","2306","0.204","0.057","0","within","yes","1.03728466894684","16"
"MRP","V","MSL","0","62","2337","0.112","0.053","0","within","yes","0.416325139237166","17"
"MRP","R","FSM","0","147","2252","0.147","0.051","0","within","yes","0.677410396046914","18"
"MRP","R","OVP","0","33","2366","0.232","0.039","0","within","yes","1.36187715038598","19"
"MRP","R","SRF","0","197","2202","0.197","0.053","0","within","yes","1.01611559407037","20"
"MRP","R","SSC","0","40","2359","0.229","0.035","0","within","yes","1.36893350867814","21"
"MRP","T","FLT","0","151","2249","0.288","0.044","0","within","yes","1.72175142328591","22"
"MRP","T","SEN","0","39","2360","0.263","0.053","0","within","yes","1.48183524135262","23"
"MRP","T","CDR","0","13","2386","0.473","0.046","0","within","yes","3.01306499075034","24"
"MRP","T","MTM","0","7","2392","0.22","0.032","0.001","within","yes","1.32659535892521","25"
"CLB","C","STT","0","77","2322","0.142","0.042","0","within","yes","0.705635829215535","26"
"CLB","C","RTH","0","53","2346","0.371","0.049","0","within","yes","2.27214737007402","27"
"CLB","C","TCM","0","97","2302","0.146","0.058","0","within","yes","0.620959529709671","28"
"CLB","C","CUL","0","74","2325","0.081","0.051","0","within","yes","0.211690748764661","29"
"CLB","B","PRA","0","124","2275","0.252","0.035","0","within","yes","1.53122974939771","30"
"CLB","B","CPR","0","68","2331","0.116","0.025","0","within","yes","0.642128604586137","31"
"CND","P","WAT","0","40","2359","0.386","0.082","0","within","yes","2.14513292081523","32"
"CND","P","TMP","0","71","2328","0.286","0.073","0","within","yes","1.50300431622909","33"
"CND","P","LIT","0","146","2253","0.204","0.055","0","within","yes","1.05139738553115","34"
"CND","P","MEC","0","13","2386","0.134","0.063","0.11","within","no","0.50100143874303","35"
"CND","P","MPH","0","18","2381","0.191","0.067","0","within","yes","0.874988428227264","36"
"CND","H","NUT","0","109","2290","0.23","0.071","0","within","yes","1.1219609684527","37"
"CND","H","HRM","0","152","2247","0.324","0.075","0","within","yes","1.75703321474668","38"
"CND","H","CHS","0","190","2209","0.302","0.068","0","within","yes","1.65118784036435","39"
"CND","H","MCH","0","28","2371","0.37","0.088","0","within","yes","1.98989303838781","40"
"CND","I","PTH","0","137","2262","0.337","0.055","0","within","yes","1.98989303838781","41"
"CND","I","OBI","0","6","2393","0.446","0.081","0","within","yes","2.5755707766367","42"
"ESN","G","all","1","208","2202","0.6","0.084","0","within","yes","3.64108087875216","0"
"ESN","S","all","1","377","2022","0.629","0.051","0","within","yes","4.07857509286579","0"
"ESN","L","all","1","172","2228","0.285","0.038","0","within","yes","1.74292049816237","0"
"MRP","V","all","1","1401","1581","0.083","0.044","0","within","yes","0.275197973394059","0"
"MRP","R","all","1","417","2061","0.116","0.045","0","within","yes","0.50100143874303","0"
"MRP","T","all","1","210","2204","0.213","0.042","0","within","yes","1.20663726795857","0"
"CLB","C","all","1","301","2132","0.097","0.047","0","within","yes","0.352817914607768","0"
"CLB","B","all","1","192","2212","0.143","0.03","0","within","yes","0.797368487013555","0"
"CND","P","all","1","288","2125","0.154","0.06","0","within","yes","0.663297679462603","0"
"CND","H","all","1","479","1982","0.251","0.049","0","within","yes","1.42538437501538","0"
"CND","I","all","1","143","2256","0.33","0.056","0","within","yes","1.93344217205057","0"
