"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.891","0.56","0","within","yes","3.40958492524794","1"
"ESN","G","GEM","0","32","2367","0.938","0.589","0","within","yes","3.5950004196723","2"
"ESN","G","EMG","0","54","2345","0.889","0.591","0","within","yes","3.06965651880329","3"
"ESN","G","MGD","0","47","2352","0.726","0.575","0","within","yes","1.55542998100435","4"
"ESN","S","EMB","0","364","2035","0.793","0.571","0","within","yes","2.28679109790043","5"
"ESN","S","MSD","0","13","2386","0.753","0.585","0","within","yes","1.73054461462736","6"
"ESN","L","NHM","0","17","2382","0.821","0.573","0","within","yes","2.55461347873562","7"
"ESN","L","SRL","0","155","2244","0.708","0.582","0","within","yes","1.29790846097052","8"
"MRP","V","GER","0","60","2339","0.642","0.572","0","within","yes","0.721060256094732","9"
"MRP","V","NLS","0","127","2272","0.634","0.566","0","within","yes","0.700458534492025","10"
"MRP","V","PIG","0","248","2151","0.658","0.566","0","within","yes","0.947679193724505","11"
"MRP","V","GRS","0","272","2127","0.593","0.56","0","within","yes","0.339928406444658","12"
"MRP","V","ROT","0","199","2200","0.626","0.558","0","within","yes","0.700458534492024","13"
"MRP","V","LEF","0","246","2153","0.634","0.559","0","within","yes","0.772564560101498","14"
"MRP","V","IST","0","94","2305","0.676","0.557","0","within","yes","1.22580243536104","15"
"MRP","V","ARC","0","93","2306","0.651","0.557","0","within","yes","0.968280915327211","16"
"MRP","V","MSL","0","62","2337","0.596","0.563","0","within","yes","0.339928406444659","17"
"MRP","R","FSM","0","147","2252","0.636","0.557","0","within","yes","0.813768003306911","18"
"MRP","R","OVP","0","33","2366","0.692","0.588","0","within","yes","1.07128952334074","19"
"MRP","R","SRF","0","197","2202","0.635","0.564","0","within","yes","0.731361116896085","20"
"MRP","R","SSC","0","40","2359","0.68","0.57","0","within","yes","1.13309468814886","21"
"MRP","T","FLT","0","151","2249","0.681","0.54","0","within","yes","1.45242137299082","22"
"MRP","T","SEN","0","39","2360","0.651","0.559","0","within","yes","0.947679193724504","23"
"MRP","T","CDR","0","13","2386","0.741","0.534","0","within","yes","2.13227818588013","24"
"MRP","T","MTM","0","7","2392","0.667","0.557","0","within","yes","1.13309468814886","25"
"CLB","C","STT","0","77","2322","0.651","0.571","0","within","yes","0.824068864108265","26"
"CLB","C","RTH","0","53","2346","0.701","0.567","0","within","yes","1.38031534738134","27"
"CLB","C","TCM","0","97","2302","0.616","0.558","0","within","yes","0.597449926478491","28"
"CLB","C","CUL","0","74","2325","0.62","0.567","0","within","yes","0.545945622471726","29"
"CLB","B","PRA","0","124","2275","0.652","0.546","0","within","yes","1.09189124494345","30"
"CLB","B","CPR","0","68","2331","0.651","0.553","0","within","yes","1.00948435853262","31"
"CND","P","WAT","0","40","2359","0.683","0.546","0","within","yes","1.4112179297854","32"
"CND","P","TMP","0","71","2328","0.675","0.544","0","within","yes","1.34941276497728","33"
"CND","P","LIT","0","146","2253","0.632","0.534","0","within","yes","1.00948435853262","34"
"CND","P","MEC","0","13","2386","0.58","0.553","0.096","within","no","0.278123241636538","35"
"CND","P","MPH","0","18","2381","0.574","0.537","0","within","yes","0.381131849650072","36"
"CND","H","NUT","0","109","2290","0.645","0.533","0","within","yes","1.15369640975157","37"
"CND","H","HRM","0","152","2247","0.642","0.525","0","within","yes","1.20520071375834","38"
"CND","H","CHS","0","190","2209","0.653","0.533","0","within","yes","1.2361032961624","39"
"CND","H","MCH","0","28","2371","0.704","0.535","0","within","yes","1.74084547542871","40"
"CND","I","PTH","0","137","2262","0.747","0.558","0","within","yes","1.94686269145577","41"
"CND","I","OBI","0","6","2393","0.786","0.564","0","within","yes","2.28679109790043","42"
"ESN","G","all","1","208","2202","0.822","0.562","0","within","yes","2.67822380835186","0"
"ESN","S","all","1","377","2022","0.785","0.57","0","within","yes","2.21468507229096","0"
"ESN","L","all","1","172","2228","0.699","0.58","0","within","yes","1.22580243536104","0"
"MRP","V","all","1","1401","1581","0.592","0.555","0","within","yes","0.381131849650072","0"
"MRP","R","all","1","417","2061","0.608","0.561","0","within","yes","0.484140457663605","0"
"MRP","T","all","1","210","2204","0.647","0.542","0","within","yes","1.0815903841421","0"
"CLB","C","all","1","301","2132","0.605","0.563","0","within","yes","0.432636153656839","0"
"CLB","B","all","1","192","2212","0.63","0.546","0","within","yes","0.865272307313677","0"
"CND","P","all","1","288","2125","0.59","0.538","0","within","yes","0.535644761670371","0"
"CND","H","all","1","479","1982","0.623","0.523","0","within","yes","1.03008608013533","0"
"CND","I","all","1","143","2256","0.743","0.558","0","within","yes","1.90565924825036","0"
