"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.537","0.052","0","within","yes","5.01867857757153","1"
"ESN","G","GEM","0","32","2367","0.687","0.082","0","within","yes","6.26041348336242","2"
"ESN","G","EMG","0","54","2345","0.574","0.076","0","within","yes","5.15319985903221","3"
"ESN","G","MGD","0","47","2352","0.225","0.04","0","within","yes","1.91434131309429","4"
"ESN","S","EMB","0","364","2035","0.499","0.027","0","within","yes","4.88415729611085","5"
"ESN","S","MSD","0","13","2386","0.307","0.047","0","within","yes","2.6904256292136","6"
"ESN","L","NHM","0","17","2382","0.518","0.011","0","within","yes","5.24632997696652","7"
"ESN","L","SRL","0","155","2244","0.219","0.021","0","within","yes","2.04886259455497","8"
"MRP","V","GER","0","60","2339","0.107","0.03","0","within","yes","0.79677989788249","9"
"MRP","V","NLS","0","127","2272","0.087","0.028","0","within","yes","0.610519662013856","10"
"MRP","V","PIG","0","248","2151","0.097","0.024","0","within","yes","0.755388734356127","11"
"MRP","V","GRS","0","272","2127","0.08","0.025","0","within","yes","0.569128498487493","12"
"MRP","V","ROT","0","199","2200","0.101","0.027","0","within","yes","0.765736525237718","13"
"MRP","V","LEF","0","246","2153","0.088","0.024","0","within","yes","0.66225861642181","14"
"MRP","V","IST","0","94","2305","0.138","0.025","0","within","yes","1.16930036961976","15"
"MRP","V","ARC","0","93","2306","0.108","0.026","0","within","yes","0.848518852290444","16"
"MRP","V","MSL","0","62","2337","0.059","0.026","0","within","yes","0.341477099092496","17"
"MRP","R","FSM","0","147","2252","0.075","0.023","0","within","yes","0.53808512584272","18"
"MRP","R","OVP","0","33","2366","0.141","0.019","0","within","yes","1.26243048755407","19"
"MRP","R","SRF","0","197","2202","0.111","0.025","0","within","yes","0.889910015816807","20"
"MRP","R","SSC","0","40","2359","0.152","0.018","0","within","yes","1.38660397813316","21"
"MRP","T","FLT","0","151","2249","0.163","0.021","0","within","yes","1.46938630518589","22"
"MRP","T","SEN","0","39","2360","0.145","0.026","0","within","yes","1.2313871149093","23"
"MRP","T","CDR","0","13","2386","0.306","0.023","0","within","yes","2.92842481949019","24"
"MRP","T","MTM","0","7","2392","0.133","0.014","0","within","yes","1.2313871149093","25"
"CLB","C","STT","0","77","2322","0.076","0.021","0","within","yes","0.569128498487493","26"
"CLB","C","RTH","0","53","2346","0.204","0.024","0","within","yes","1.86260235868634","27"
"CLB","C","TCM","0","97","2302","0.072","0.027","0","within","yes","0.465650589671585","28"
"CLB","C","CUL","0","74","2325","0.05","0.026","0","within","yes","0.248346981158179","29"
"CLB","B","PRA","0","124","2275","0.147","0.019","0","within","yes","1.32451723284362","30"
"CLB","B","CPR","0","68","2331","0.078","0.013","0","within","yes","0.672606407303401","31"
"CND","P","WAT","0","40","2359","0.234","0.043","0","within","yes","1.97642805838384","32"
"CND","P","TMP","0","71","2328","0.168","0.037","0","within","yes","1.35556060548839","33"
"CND","P","LIT","0","146","2253","0.116","0.027","0","within","yes","0.920953388461579","34"
"CND","P","MEC","0","13","2386","0.085","0.03","0.106","within","no","0.569128498487493","35"
"CND","P","MPH","0","18","2381","0.116","0.034","0","within","yes","0.848518852290444","36"
"CND","H","NUT","0","109","2290","0.13","0.037","0","within","yes","0.962344551987942","37"
"CND","H","HRM","0","152","2247","0.174","0.038","0","within","yes","1.40729955989635","38"
"CND","H","CHS","0","190","2209","0.164","0.034","0","within","yes","1.3452128146068","39"
"CND","H","MCH","0","28","2371","0.215","0.047","0","within","yes","1.73842886810725","40"
"CND","I","PTH","0","137","2262","0.199","0.028","0","within","yes","1.76947224075202","41"
"CND","I","OBI","0","6","2393","0.322","0.042","0","within","yes","2.89738144684542","42"
"ESN","G","all","1","208","2202","0.38","0.043","0","within","yes","3.48720552709609","0"
"ESN","S","all","1","377","2022","0.476","0.026","0","within","yes","4.65650589671585","0"
"ESN","L","all","1","172","2228","0.186","0.02","0","within","yes","1.71773328634407","0"
"MRP","V","all","1","1401","1581","0.044","0.022","0","within","yes","0.227651399394997","0"
"MRP","R","all","1","417","2061","0.063","0.021","0","within","yes","0.434607217026813","0"
"MRP","T","all","1","210","2204","0.119","0.02","0","within","yes","1.02443129727749","0"
"CLB","C","all","1","301","2132","0.049","0.023","0","within","yes","0.26904256292136","0"
"CLB","B","all","1","192","2212","0.085","0.016","0","within","yes","0.713997570829764","0"
"CND","P","all","1","288","2125","0.084","0.03","0","within","yes","0.558780707605902","0"
"CND","H","all","1","479","1982","0.133","0.025","0","within","yes","1.1175614152118","0"
"CND","I","all","1","143","2256","0.194","0.028","0","within","yes","1.71773328634407","0"
