"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.731","0.036","0","within","yes","10.2505034137708","1"
"ESN","G","GEM","0","32","2367","0.705","0.04","0","within","yes","9.80803564051451","2"
"ESN","G","EMG","0","54","2345","0.549","0.035","0","within","yes","7.58094784845783","3"
"ESN","G","MGD","0","47","2352","0.31","0.039","0","within","yes","3.99695888508185","4"
"ESN","S","EMB","0","364","2035","0.01","0.008","0","within","yes","0.0294978515504196","5"
"ESN","S","MSD","0","13","2386","0.07","0.02","0.522","within","no","0.73744628876049","6"
"ESN","L","NHM","0","17","2382","0.419","0.008","0","within","yes","6.06180849361122","7"
"ESN","L","SRL","0","155","2244","0.307","0.01","0","within","yes","4.38043095523731","8"
"MRP","V","GER","0","60","2339","0.103","0.014","0","within","yes","1.31265439399367","9"
"MRP","V","NLS","0","127","2272","0.06","0.025","0","within","yes","0.516212402132343","10"
"MRP","V","PIG","0","248","2151","0.085","0.016","0","within","yes","1.01767587848948","11"
"MRP","V","GRS","0","272","2127","0.05","0.022","0","within","yes","0.412969921705874","12"
"MRP","V","ROT","0","199","2200","0.196","0.03","0","within","yes","2.44832167868483","13"
"MRP","V","LEF","0","246","2153","0.092","0.024","0","within","yes","1.00292695271427","14"
"MRP","V","IST","0","94","2305","0.16","0.022","0","within","yes","2.03535175697895","15"
"MRP","V","ARC","0","93","2306","0.091","0.027","0","within","yes","0.943931249613427","16"
"MRP","V","MSL","0","62","2337","0.028","0.017","0","within","yes","0.162238183527308","17"
"MRP","R","FSM","0","147","2252","0.102","0.026","0","within","yes","1.12091835891594","18"
"MRP","R","OVP","0","33","2366","0.06","0.016","0","within","yes","0.648952734109231","19"
"MRP","R","SRF","0","197","2202","0.097","0.023","0","within","yes","1.09142050736552","20"
"MRP","R","SSC","0","40","2359","0.027","0.014","0.012","within","yes","0.191736035077727","21"
"MRP","T","FLT","0","151","2249","0.043","0.019","0","within","yes","0.353974218605035","22"
"MRP","T","SEN","0","39","2360","0.082","0.025","0","within","yes","0.840688769186958","23"
"MRP","T","CDR","0","13","2386","0.173","0.01","0","within","yes","2.4040749013592","24"
"MRP","T","MTM","0","7","2392","0.115","0.014","0.067","within","no","1.48964150329619","25"
"CLB","C","STT","0","77","2322","0.07","0.02","0","within","yes","0.73744628876049","26"
"CLB","C","RTH","0","53","2346","0.27","0.041","0","within","yes","3.37750400252304","27"
"CLB","C","TCM","0","97","2302","0.092","0.029","0","within","yes","0.929182323838217","28"
"CLB","C","CUL","0","74","2325","0.046","0.009","0","within","yes","0.545710253682762","29"
"CLB","B","PRA","0","124","2275","0.028","0.005","0","within","yes","0.339225292829825","30"
"CLB","B","CPR","0","68","2331","0.067","0.007","0","within","yes","0.884935546512588","31"
"CND","P","WAT","0","40","2359","0.016","0.009","0.542","within","no","0.103242480426469","32"
"CND","P","TMP","0","71","2328","0.044","0.01","0","within","yes","0.501463476357133","33"
"CND","P","LIT","0","146","2253","0.044","0.012","0","within","yes","0.471965624806713","34"
"CND","P","MEC","0","13","2386","0.076","0.021","0.144","within","no","0.811190917636539","35"
"CND","P","MPH","0","18","2381","0.063","0.017","0.028","within","yes","0.678450585659651","36"
"CND","H","NUT","0","109","2290","0.007","0.007","0.101","within","no","0","37"
"CND","H","HRM","0","152","2247","0.016","0.011","0.229","within","no","0.073744628876049","38"
"CND","H","CHS","0","190","2209","0.005","0.005","0","between","yes","0","39"
"CND","H","MCH","0","28","2371","0.002","0.005","0.701","between","no","-0.0442467773256294","40"
"CND","I","PTH","0","137","2262","0.016","0.002","0.001","within","yes","0.206484960852937","41"
"CND","I","OBI","0","6","2393","0.052","0.013","0.618","within","no","0.575208105233182","42"
"ESN","G","all","1","208","2202","0.534","0.007","0","within","yes","7.77268388353556","0"
"ESN","S","all","1","377","2022","0.01","0.008","0","within","yes","0.0294978515504196","0"
"ESN","L","all","1","172","2228","0.256","0.01","0","within","yes","3.62823574070161","0"
"MRP","V","all","1","1401","1581","0.048","0.014","0","within","yes","0.501463476357133","0"
"MRP","R","all","1","417","2061","0.066","0.019","0","within","yes","0.69319951143486","0"
"MRP","T","all","1","210","2204","0.041","0.018","0","within","yes","0.339225292829825","0"
"CLB","C","all","1","301","2132","0.058","0.021","0","within","yes","0.545710253682762","0"
"CLB","B","all","1","192","2212","0.03","0.005","0","within","yes","0.368723144380245","0"
"CND","P","all","1","288","2125","0.024","0.012","0","within","yes","0.176987109302518","0"
"CND","H","all","1","479","1982","0.006","0.009","0","between","yes","-0.0442467773256294","0"
"CND","I","all","1","143","2256","0.015","0.003","0.003","within","yes","0.176987109302518","0"
