"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.884","0.554","0","within","yes","2.70895912904716","1"
"ESN","G","GEM","0","32","2367","0.929","0.582","0","within","yes","2.84851156902838","2"
"ESN","G","EMG","0","54","2345","0.879","0.586","0","within","yes","2.40522734791157","3"
"ESN","G","MGD","0","47","2352","0.713","0.562","0","within","yes","1.23955402571552","4"
"ESN","S","EMB","0","364","2035","0.849","0.56","0","within","yes","2.37239147968069","5"
"ESN","S","MSD","0","13","2386","0.712","0.569","0","within","yes","1.17388228925377","6"
"ESN","L","NHM","0","17","2382","0.853","0.567","0","within","yes","2.34776457850754","7"
"ESN","L","SRL","0","155","2244","0.709","0.571","0","within","yes","1.13283745396518","8"
"MRP","V","GER","0","60","2339","0.634","0.563","0","within","yes","0.582836661098025","9"
"MRP","V","NLS","0","127","2272","0.616","0.55","0","within","yes","0.541791825809431","10"
"MRP","V","PIG","0","248","2151","0.638","0.546","0","within","yes","0.755224969310117","11"
"MRP","V","GRS","0","272","2127","0.544","0.531","0","within","yes","0.106716571750343","12"
"MRP","V","ROT","0","199","2200","0.622","0.549","0","within","yes","0.599254595213462","13"
"MRP","V","LEF","0","246","2153","0.626","0.542","0","within","yes","0.689553232848367","14"
"MRP","V","IST","0","94","2305","0.674","0.541","0","within","yes","1.09179261867658","15"
"MRP","V","ARC","0","93","2306","0.635","0.542","0","within","yes","0.763433936367835","16"
"MRP","V","MSL","0","62","2337","0.564","0.541","0","within","yes","0.188806242327528","17"
"MRP","R","FSM","0","147","2252","0.627","0.544","0","within","yes","0.681344265790649","18"
"MRP","R","OVP","0","33","2366","0.672","0.573","0","within","yes","0.812687738714148","19"
"MRP","R","SRF","0","197","2202","0.613","0.55","0","within","yes","0.517164924636275","20"
"MRP","R","SSC","0","40","2359","0.661","0.564","0","within","yes","0.796269804598711","21"
"MRP","T","FLT","0","151","2249","0.642","0.527","0","within","yes","0.944031211637646","22"
"MRP","T","SEN","0","39","2360","0.594","0.533","0","within","yes","0.500746990520838","23"
"MRP","T","CDR","0","13","2386","0.751","0.541","0","within","yes","1.72388308212092","24"
"MRP","T","MTM","0","7","2392","0.641","0.551","0.005","within","yes","0.738807035194679","25"
"CLB","C","STT","0","77","2322","0.635","0.559","0","within","yes","0.623881496386618","26"
"CLB","C","RTH","0","53","2346","0.695","0.555","0","within","yes","1.14925538808061","27"
"CLB","C","TCM","0","97","2302","0.606","0.547","0","within","yes","0.484329056405401","28"
"CLB","C","CUL","0","74","2325","0.592","0.557","0","within","yes","0.287313847020153","29"
"CLB","B","PRA","0","124","2275","0.645","0.538","0","within","yes","0.878359475175897","30"
"CLB","B","CPR","0","68","2331","0.653","0.554","0","within","yes","0.812687738714147","31"
"CND","P","WAT","0","40","2359","0.68","0.548","0","within","yes","1.08358365161886","32"
"CND","P","TMP","0","71","2328","0.657","0.542","0","within","yes","0.944031211637646","33"
"CND","P","LIT","0","146","2253","0.594","0.525","0","within","yes","0.566418726982587","34"
"CND","P","MEC","0","13","2386","0.582","0.553","0.299","within","no","0.23806004467384","35"
"CND","P","MPH","0","18","2381","0.579","0.532","0","within","yes","0.385821451712777","36"
"CND","H","NUT","0","109","2290","0.624","0.528","0","within","yes","0.788060837540991","37"
"CND","H","HRM","0","152","2247","0.68","0.538","0","within","yes","1.16567332219605","38"
"CND","H","CHS","0","190","2209","0.672","0.526","0","within","yes","1.19850919042692","39"
"CND","H","MCH","0","28","2371","0.756","0.546","0","within","yes","1.72388308212092","40"
"CND","I","PTH","0","137","2262","0.742","0.555","0","within","yes","1.53507683979339","41"
"CND","I","OBI","0","6","2393","0.784","0.565","0","within","yes","1.79776378564039","42"
"ESN","G","all","1","208","2202","0.813","0.554","0","within","yes","2.12612246794913","0"
"ESN","S","all","1","377","2022","0.838","0.559","0","within","yes","2.29030180910351","0"
"ESN","L","all","1","172","2228","0.7","0.57","0","within","yes","1.06716571750343","0"
"MRP","V","all","1","1401","1581","0.567","0.539","0","within","yes","0.229851077616122","0"
"MRP","R","all","1","417","2061","0.596","0.549","0","within","yes","0.385821451712777","0"
"MRP","T","all","1","210","2204","0.615","0.528","0","within","yes","0.714180134021523","0"
"CLB","C","all","1","301","2132","0.593","0.552","0","within","yes","0.336567649366464","0"
"CLB","B","all","1","192","2212","0.628","0.542","0","within","yes","0.705971166963805","0"
"CND","P","all","1","288","2125","0.577","0.532","0","within","yes","0.369403517597339","0"
"CND","H","all","1","479","1982","0.648","0.521","0","within","yes","1.04253881633027","0"
"CND","I","all","1","143","2256","0.739","0.554","0","within","yes","1.51865890567795","0"
