"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Cellular and Biochemical","Biochemical","0","CPR","68","2331","0.071","0.007","0","within","yes","0.42471682700673","31","68","2331","0.083","0.007","0","within","yes","0.50454558924055","31","68","2331","0.19","0.07","0","within","yes","0.785908640074653","31","68","2331","0.018","0.001","0.121","within","no","0.228205358930538","31","68","2331","0.045","0.027","0","within","yes","0.160718799969197","31","68","2331","0.653","0.554","0","within","yes","0.812687738714147","31","68","2331","0.084","0.012","0","within","yes","0.832530642248723","31","68","2331","0.117","0.025","0","within","yes","0.705257230569569","31"
"Cellular and Biochemical","Biochemical","0","PRA","124","2275","0.16","0.013","0","within","yes","0.975521462031082","30","124","2275","0.064","0.007","0","within","yes","0.378409191930413","30","124","2275","0.281","0.078","0","within","yes","1.32949544945962","30","124","2275","0.008","0.001","0","within","yes","0.0939669125008098","30","124","2275","0.058","0.04","0","within","yes","0.160718799969197","30","124","2275","0.645","0.538","0","within","yes","0.878359475175897","30","124","2275","0.156","0.017","0","within","yes","1.60724665656351","30","124","2275","0.276","0.033","0","within","yes","1.86279898943919","30"
"Cellular and Biochemical","Biochemical","1","all","192","2212","0.08","0.011","0","within","yes","0.457897829116631","0","192","2212","0.041","0.007","0","within","yes","0.225717763607615","0","192","2212","0.17","0.076","0","within","yes","0.615628434725145","0","192","2212","0.006","0.001","0","within","yes","0.0671192232148641","0","192","2212","0.039","0.036","0","within","yes","0.0267864666615329","0","192","2212","0.628","0.542","0","within","yes","0.705971166963805","0","192","2212","0.086","0.015","0","within","yes","0.820967716661935","0","192","2212","0.149","0.03","0","within","yes","0.912234896062811","0"
"Cellular and Biochemical","Cellular","0","CUL","74","2325","0.037","0.025","0.012","within","yes","0.0796344050637618","29","74","2325","0.07","0.034","0","within","yes","0.238995279113945","29","74","2325","0.199","0.095","0","within","yes","0.681120821398033","29","74","2325","0.031","0.011","0","within","yes","0.268476892859456","29","74","2325","0.125","0.069","0","within","yes","0.500014044348614","29","74","2325","0.592","0.557","0","within","yes","0.287313847020153","29","74","2325","0.049","0.02","0","within","yes","0.335324842016847","29","74","2325","0.081","0.042","0","within","yes","0.298967739045795","29"
"Cellular and Biochemical","Cellular","0","RTH","53","2346","0.12","0.01","0","within","yes","0.729982046417817","27","53","2346","0.117","0.017","0","within","yes","0.663875775316514","27","53","2346","0.264","0.1","0","within","yes","1.07407514143536","27","53","2346","0.111","0.007","0","within","yes","1.39607984286917","27","53","2346","0.311","0.083","0","within","yes","2.0357714662765","27","53","2346","0.695","0.555","0","within","yes","1.14925538808061","27","53","2346","0.21","0.021","0","within","yes","2.1853929359029","27","53","2346","0.385","0.044","0","within","yes","2.61405125678503","27"
"Cellular and Biochemical","Cellular","0","STT","77","2322","0.034","0.01","0","within","yes","0.159268810127524","26","77","2322","0.066","0.041","0","within","yes","0.165968943829128","26","77","2322","0.146","0.115","0","within","yes","0.203026398685952","26","77","2322","0.039","0.01","0","within","yes","0.389291494646212","26","77","2322","0.116","0.068","0","within","yes","0.428583466584526","26","77","2322","0.635","0.559","0","within","yes","0.623881496386618","26","77","2322","0.078","0.019","0","within","yes","0.682212609620481","26","77","2322","0.145","0.039","0","within","yes","0.812578983047546","26"
"Cellular and Biochemical","Cellular","0","TCM","97","2302","0.034","0.019","0","within","yes","0.0995430063297023","28","97","2302","0.102","0.05","0","within","yes","0.345215403164587","28","97","2302","0.164","0.113","0","within","yes","0.334011172031728","28","97","2302","0.041","0.016","0","within","yes","0.335596116074321","28","97","2302","0.123","0.08","0","within","yes","0.383939355481971","28","97","2302","0.606","0.547","0","within","yes","0.484329056405401","28","97","2302","0.07","0.024","0","within","yes","0.53189457699224","28","97","2302","0.143","0.052","0","within","yes","0.697591391106856","28"
"Cellular and Biochemical","Cellular","1","all","301","2132","0.02","0.017","0","within","yes","0.0199086012659405","0","301","2132","0.052","0.038","0","within","yes","0.0929426085443119","0","301","2132","0.131","0.108","0","within","yes","0.150632489347642","0","301","2132","0.023","0.011","0","within","yes","0.161086135715674","0","301","2132","0.103","0.074","0","within","yes","0.258935844394818","0","301","2132","0.593","0.552","0","within","yes","0.336567649366464","0","301","2132","0.049","0.02","0","within","yes","0.335324842016847","0","301","2132","0.096","0.041","0","within","yes","0.421621170449199","0"
"Conditional","Chemical","0","CHS","190","2209","0.287","0.033","0","within","yes","1.68559490718296","39","190","2209","0.08","0.02","0","within","yes","0.398325465189908","39","190","2209","0.194","0.087","0","within","yes","0.700768537399899","39","190","2209","0.019","0.005","0","within","yes","0.18793382500162","39","190","2209","0.145","0.056","0","within","yes","0.794665177625475","39","190","2209","0.672","0.526","0","within","yes","1.19850919042692","39","190","2209","0.158","0.03","0","within","yes","1.48005447510884","39","190","2209","0.367","0.067","0","within","yes","2.29975183881381","39"
"Conditional","Chemical","0","HRM","152","2247","0.172","0.025","0","within","yes","0.975521462031082","38","152","2247","0.094","0.022","0","within","yes","0.47799055822789","38","152","2247","0.319","0.074","0","within","yes","1.60456347348575","38","152","2247","0.041","0.005","0","within","yes","0.483258407147022","38","152","2247","0.28","0.07","0","within","yes","1.8750526663073","38","152","2247","0.68","0.538","0","within","yes","1.16567332219605","38","152","2247","0.178","0.034","0","within","yes","1.66506128449745","38","152","2247","0.355","0.073","0","within","yes","2.16176672848498","38"
