"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.421","0.024","0","within","yes","5.32926632326021","1"
"ESN","G","GEM","0","32","2367","0.713","0.051","0","within","yes","8.88658515364801","2"
"ESN","G","EMG","0","54","2345","0.526","0.04","0","within","yes","6.52398849648479","3"
"ESN","G","MGD","0","47","2352","0.178","0.02","0","within","yes","2.12096745358971","4"
"ESN","S","EMB","0","364","2035","0.251","0.013","0","within","yes","3.19487502502753","5"
"ESN","S","MSD","0","13","2386","0.372","0.029","0","within","yes","4.60437871253968","6"
"ESN","L","NHM","0","17","2382","0.012","0.009","0.446","within","no","0.0402715339289185","7"
"ESN","L","SRL","0","155","2244","0.102","0.009","0","within","yes","1.24841755179647","8"
"MRP","V","GER","0","60","2339","0.102","0.012","0","within","yes","1.20814601786755","9"
"MRP","V","NLS","0","127","2272","0.068","0.014","0","within","yes","0.724887610720533","10"
"MRP","V","PIG","0","248","2151","0.076","0.013","0","within","yes","0.845702212507288","11"
"MRP","V","GRS","0","272","2127","0.135","0.014","0","within","yes","1.62428520179971","12"
"MRP","V","ROT","0","199","2200","0.083","0.013","0","within","yes","0.939669125008098","13"
"MRP","V","LEF","0","246","2153","0.072","0.016","0","within","yes","0.751735300006478","14"
"MRP","V","IST","0","94","2305","0.114","0.016","0","within","yes","1.31553677501134","15"
"MRP","V","ARC","0","93","2306","0.114","0.016","0","within","yes","1.31553677501134","16"
"MRP","V","MSL","0","62","2337","0.062","0.018","0","within","yes","0.590649164290804","17"
"MRP","R","FSM","0","147","2252","0.054","0.015","0","within","yes","0.52352994107594","18"
"MRP","R","OVP","0","33","2366","0.033","0.008","0.004","within","yes","0.335596116074321","19"
"MRP","R","SRF","0","197","2202","0.09","0.014","0","within","yes","1.02021219286593","20"
"MRP","R","SSC","0","40","2359","0.117","0.012","0","within","yes","1.40950368751215","21"
"MRP","T","FLT","0","151","2249","0.137","0.012","0","within","yes","1.6779805803716","22"
"MRP","T","SEN","0","39","2360","0.106","0.013","0","within","yes","1.24841755179647","23"
"MRP","T","CDR","0","13","2386","0.094","0.004","0.004","within","yes","1.20814601786755","24"
"MRP","T","MTM","0","7","2392","0.005","0.005","0.999","within","no","0","25"
"CLB","C","STT","0","77","2322","0.039","0.01","0","within","yes","0.389291494646212","26"
"CLB","C","RTH","0","53","2346","0.111","0.007","0","within","yes","1.39607984286917","27"
"CLB","C","TCM","0","97","2302","0.041","0.016","0","within","yes","0.335596116074321","28"
"CLB","C","CUL","0","74","2325","0.031","0.011","0","within","yes","0.268476892859456","29"
"CLB","B","PRA","0","124","2275","0.008","0.001","0","within","yes","0.0939669125008098","30"
"CLB","B","CPR","0","68","2331","0.018","0.001","0.121","within","no","0.228205358930538","31"
"CND","P","WAT","0","40","2359","0.083","0.006","0","within","yes","1.03363603750891","32"
"CND","P","TMP","0","71","2328","0.017","0.007","0.032","within","yes","0.134238446429728","33"
"CND","P","LIT","0","146","2253","0.042","0.007","0","within","yes","0.469834562504049","34"
"CND","P","MEC","0","13","2386","0.04","0.011","0.801","within","no","0.389291494646212","35"
"CND","P","MPH","0","18","2381","0.055","0.008","0","within","yes","0.630920698219723","36"
"CND","H","NUT","0","109","2290","0.004","0.003","0","within","yes","0.0134238446429728","37"
"CND","H","HRM","0","152","2247","0.041","0.005","0","within","yes","0.483258407147022","38"
"CND","H","CHS","0","190","2209","0.019","0.005","0","within","yes","0.18793382500162","39"
"CND","H","MCH","0","28","2371","0.03","0.003","0","within","yes","0.362443805360266","40"
"CND","I","PTH","0","137","2262","0.039","0.004","0","within","yes","0.469834562504049","41"
"CND","I","OBI","0","6","2393","0.077","0.007","0.712","within","no","0.939669125008098","42"
"ESN","G","all","1","208","2202","0.311","0.016","0","within","yes","3.96003416967698","0"
"ESN","S","all","1","377","2022","0.239","0.013","0","within","yes","3.03378888931186","0"
"ESN","L","all","1","172","2228","0.085","0.009","0","within","yes","1.02021219286593","0"
"MRP","V","all","1","1401","1581","0.04","0.008","0","within","yes","0.42956302857513","0"
"MRP","R","all","1","417","2061","0.048","0.012","0","within","yes","0.483258407147022","0"
"MRP","T","all","1","210","2204","0.091","0.011","0","within","yes","1.07390757143783","0"
"CLB","C","all","1","301","2132","0.023","0.011","0","within","yes","0.161086135715674","0"
"CLB","B","all","1","192","2212","0.006","0.001","0","within","yes","0.0671192232148641","0"
"CND","P","all","1","288","2125","0.019","0.007","0","within","yes","0.161086135715674","0"
"CND","H","all","1","479","1982","0.011","0.005","0","within","yes","0.0805430678578369","0"
"CND","I","all","1","143","2256","0.037","0.004","0","within","yes","0.442986873218103","0"
