"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.79","0.061","0","within","yes","5.58839696831756","1"
"ESN","G","GEM","0","32","2367","0.911","0.096","0","within","yes","6.24765916211085","2"
"ESN","G","EMG","0","54","2345","0.842","0.092","0","within","yes","5.74937959703453","3"
"ESN","G","MGD","0","47","2352","0.366","0.062","0","within","yes","2.33041519666466","4"
"ESN","S","EMB","0","364","2035","0.498","0.025","0","within","yes","3.62594206586311","5"
"ESN","S","MSD","0","13","2386","0.473","0.064","0","within","yes","3.13532834024949","6"
"ESN","L","NHM","0","17","2382","0.696","0.019","0","within","yes","5.1897733162565","7"
"ESN","L","SRL","0","155","2244","0.329","0.031","0","within","yes","2.28442015988839","8"
"MRP","V","GER","0","60","2339","0.187","0.056","0","within","yes","1.00422496961536","9"
"MRP","V","NLS","0","127","2272","0.164","0.052","0","within","yes","0.858574019823823","10"
"MRP","V","PIG","0","248","2151","0.159","0.038","0","within","yes","0.927566574988237","11"
"MRP","V","GRS","0","272","2127","0.149","0.047","0","within","yes","0.781915625196696","12"
"MRP","V","ROT","0","199","2200","0.195","0.05","0","within","yes","1.11154672209334","13"
"MRP","V","LEF","0","246","2153","0.191","0.044","0","within","yes","1.12687840101877","14"
"MRP","V","IST","0","94","2305","0.235","0.045","0","within","yes","1.45650949791541","15"
"MRP","V","ARC","0","93","2306","0.189","0.05","0","within","yes","1.06555168531707","16"
"MRP","V","MSL","0","62","2337","0.115","0.05","0","within","yes","0.498279565076326","17"
"MRP","R","FSM","0","147","2252","0.14","0.044","0","within","yes","0.73592058842042","18"
"MRP","R","OVP","0","33","2366","0.243","0.036","0","within","yes","1.58682876878153","19"
"MRP","R","SRF","0","197","2202","0.19","0.043","0","within","yes","1.12687840101877","20"
"MRP","R","SSC","0","40","2359","0.234","0.031","0","within","yes","1.55616541093068","21"
"MRP","T","FLT","0","151","2249","0.281","0.041","0","within","yes","1.83980147105105","22"
"MRP","T","SEN","0","39","2360","0.243","0.048","0","within","yes","1.49483869522898","23"
"MRP","T","CDR","0","13","2386","0.47","0.047","0","within","yes","3.24265009272747","24"
"MRP","T","MTM","0","7","2392","0.226","0.034","0","within","yes","1.47184117684084","25"
"CLB","C","STT","0","77","2322","0.145","0.039","0","within","yes","0.812578983047546","26"
"CLB","C","RTH","0","53","2346","0.385","0.044","0","within","yes","2.61405125678503","27"
"CLB","C","TCM","0","97","2302","0.143","0.052","0","within","yes","0.697591391106856","28"
"CLB","C","CUL","0","74","2325","0.081","0.042","0","within","yes","0.298967739045795","29"
"CLB","B","PRA","0","124","2275","0.276","0.033","0","within","yes","1.86279898943919","30"
"CLB","B","CPR","0","68","2331","0.117","0.025","0","within","yes","0.705257230569569","31"
"CND","P","WAT","0","40","2359","0.432","0.086","0","within","yes","2.65238045409859","32"
"CND","P","TMP","0","71","2328","0.326","0.073","0","within","yes","1.93945738406631","33"
"CND","P","LIT","0","146","2253","0.21","0.05","0","within","yes","1.22653431403403","34"
"CND","P","MEC","0","13","2386","0.132","0.06","0.038","within","yes","0.551940441315315","35"
"CND","P","MPH","0","18","2381","0.241","0.074","0","within","yes","1.28019519027302","36"
"CND","H","NUT","0","109","2290","0.249","0.071","0","within","yes","1.36451942436286","37"
"CND","H","HRM","0","152","2247","0.355","0.073","0","within","yes","2.16176672848498","38"
"CND","H","CHS","0","190","2209","0.367","0.067","0","within","yes","2.29975183881381","39"
"CND","H","MCH","0","28","2371","0.47","0.094","0","within","yes","2.88235563797998","40"
"CND","I","PTH","0","137","2262","0.35","0.056","0","within","yes","2.25375680203753","41"
"CND","I","OBI","0","6","2393","0.467","0.078","0","within","yes","2.98201155099524","42"
"ESN","G","all","1","208","2202","0.638","0.041","0","within","yes","4.57650615923948","0"
"ESN","S","all","1","377","2022","0.473","0.025","0","within","yes","3.43429607929529","0"
"ESN","L","all","1","172","2228","0.278","0.029","0","within","yes","1.90879402621546","0"
"MRP","V","all","1","1401","1581","0.081","0.037","0","within","yes","0.337296936359359","0"
"MRP","R","all","1","417","2061","0.111","0.037","0","within","yes","0.56727212024074","0"
"MRP","T","all","1","210","2204","0.208","0.04","0","within","yes","1.28786102973573","0"
"CLB","C","all","1","301","2132","0.096","0.041","0","within","yes","0.421621170449199","0"
"CLB","B","all","1","192","2212","0.149","0.03","0","within","yes","0.912234896062811","0"
"CND","P","all","1","288","2125","0.162","0.057","0","within","yes","0.804913143584834","0"
"CND","H","all","1","479","1982","0.285","0.044","0","within","yes","1.84746731051376","0"
"CND","I","all","1","143","2256","0.343","0.056","0","within","yes","2.20009592579855","0"
