"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.741","0.135","0","within","yes","4.02308719841807","1"
"ESN","G","GEM","0","32","2367","0.874","0.168","0","within","yes","4.68696297373458","2"
"ESN","G","EMG","0","54","2345","0.708","0.14","0","within","yes","3.7708144037978","3"
"ESN","G","MGD","0","47","2352","0.29","0.097","0","within","yes","1.28128024636087","4"
"ESN","S","EMB","0","364","2035","0.796","0.07","0","within","yes","4.81973812879789","5"
"ESN","S","MSD","0","13","2386","0.419","0.088","0","within","yes","2.19742881629766","6"
"ESN","L","NHM","0","17","2382","0.486","0.019","0","within","yes","3.10029987072812","7"
"ESN","L","SRL","0","155","2244","0.409","0.052","0","within","yes","2.37003651787995","8"
"MRP","V","GER","0","60","2339","0.155","0.042","0","within","yes","0.75017962610766","9"
"MRP","V","NLS","0","127","2272","0.142","0.048","0","within","yes","0.624043228797523","10"
"MRP","V","PIG","0","248","2151","0.183","0.05","0","within","yes","0.882954781170963","11"
"MRP","V","GRS","0","272","2127","0.234","0.047","0","within","yes","1.24144769984188","12"
"MRP","V","ROT","0","199","2200","0.148","0.043","0","within","yes","0.697069564082339","13"
"MRP","V","LEF","0","246","2153","0.167","0.047","0","within","yes","0.796650930379816","14"
"MRP","V","IST","0","94","2305","0.198","0.049","0","within","yes","0.989174905221605","15"
"MRP","V","ARC","0","93","2306","0.186","0.044","0","within","yes","0.942703600949449","16"
"MRP","V","MSL","0","62","2337","0.157","0.052","0","within","yes","0.697069564082339","17"
"MRP","R","FSM","0","147","2252","0.126","0.048","0","within","yes","0.517823104746881","18"
"MRP","R","OVP","0","33","2366","0.094","0.031","0","within","yes","0.418241738449403","19"
"MRP","R","SRF","0","197","2202","0.205","0.049","0","within","yes","1.03564620949376","20"
"MRP","R","SSC","0","40","2359","0.146","0.04","0","within","yes","0.703708321835504","21"
"MRP","T","FLT","0","151","2249","0.287","0.04","0","within","yes","1.63977316503179","22"
"MRP","T","SEN","0","39","2360","0.159","0.038","0","within","yes","0.803289688132981","23"
"MRP","T","CDR","0","13","2386","0.167","0.018","0","within","yes","0.989174905221605","24"
"MRP","T","MTM","0","7","2392","0.16","0.018","0.003","within","yes","0.942703600949449","25"
"CLB","C","STT","0","77","2322","0.066","0.041","0","within","yes","0.165968943829128","26"
"CLB","C","RTH","0","53","2346","0.117","0.017","0","within","yes","0.663875775316514","27"
"CLB","C","TCM","0","97","2302","0.102","0.05","0","within","yes","0.345215403164587","28"
"CLB","C","CUL","0","74","2325","0.07","0.034","0","within","yes","0.238995279113945","29"
"CLB","B","PRA","0","124","2275","0.064","0.007","0","within","yes","0.378409191930413","30"
"CLB","B","CPR","0","68","2331","0.083","0.007","0","within","yes","0.50454558924055","31"
"CND","P","WAT","0","40","2359","0.234","0.024","0","within","yes","1.39413912816468","32"
"CND","P","TMP","0","71","2328","0.151","0.032","0","within","yes","0.790012172626651","33"
"CND","P","LIT","0","146","2253","0.106","0.037","0","within","yes","0.458074284968394","34"
"CND","P","MEC","0","13","2386","0.14","0.029","0.009","within","yes","0.73690211060133","35"
"CND","P","MPH","0","18","2381","0.111","0.034","0","within","yes","0.511184346993715","36"
"CND","H","NUT","0","109","2290","0.065","0.024","0","within","yes","0.272189067879771","37"
"CND","H","HRM","0","152","2247","0.094","0.022","0","within","yes","0.47799055822789","38"
"CND","H","CHS","0","190","2209","0.08","0.02","0","within","yes","0.398325465189908","39"
"CND","H","MCH","0","28","2371","0.094","0.012","0","within","yes","0.544378135759541","40"
"CND","I","PTH","0","137","2262","0.02","0.011","0","within","yes","0.0597488197784862","41"
"CND","I","OBI","0","6","2393","0.281","0.024","0","within","yes","1.70616074256344","42"
"ESN","G","all","1","208","2202","0.564","0.107","0","within","yes","3.03391229319647","0"
"ESN","S","all","1","377","2022","0.763","0.068","0","within","yes","4.61393663844977","0"
"ESN","L","all","1","172","2228","0.344","0.049","0","within","yes","1.95843353718371","0"
"MRP","V","all","1","1401","1581","0.102","0.031","0","within","yes","0.471351800474725","0"
"MRP","R","all","1","417","2061","0.116","0.042","0","within","yes","0.49126807373422","0"
"MRP","T","all","1","210","2204","0.2","0.035","0","within","yes","1.09539502927225","0"
"CLB","C","all","1","301","2132","0.052","0.038","0","within","yes","0.0929426085443119","0"
"CLB","B","all","1","192","2212","0.041","0.007","0","within","yes","0.225717763607615","0"
"CND","P","all","1","288","2125","0.076","0.032","0","within","yes","0.292105341139266","0"
"CND","H","all","1","479","1982","0.053","0.02","0","within","yes","0.219079005854449","0"
"CND","I","all","1","143","2256","0.02","0.012","0","within","yes","0.0531100620253211","0"
