"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff"
"MRP","V","HRM","0","152","2247","0.318","0.074","0","within","yes","1.60059577040694"
"CLB","B","CPR","0","68","2331","0.172","0.07","0","within","yes","0.669101510579952"
"MRP","T","MPH","0","18","2381","0.164","0.113","0.007","within","yes","0.334550755289976"
"CLB","B","PTH","0","137","2262","0.269","0.126","0","within","yes","0.938054078558168"
"MRP","V","SRF","0","197","2202","0.285","0.121","0","within","yes","1.07581027191286"
"CLB","C","RTH","0","53","2346","0.264","0.1","0","within","yes","1.07581027191286"
"MRP","T","MTM","0","7","2392","0.229","0.088","0.014","within","yes","0.924934441095816"
"MRP","R","OVP","0","33","2366","0.162","0.132","0","within","yes","0.19679456193528"
"MRP","V","GRS","0","272","2127","0.213","0.125","0","within","yes","0.577264048343488"
"MRP","T","WAT","0","40","2359","0.333","0.091","0","within","yes","1.58747613294459"
"ESN","L","SRL","0","155","2244","0.336","0.131","0","within","yes","1.34476283989108"
"ESN","G","FLT","0","151","2249","0.312","0.098","0","within","yes","1.40380120847166"
"CND","H","CHS","0","190","2209","0.194","0.087","0","within","yes","0.701900604235832"
"MRP","T","CDR","0","13","2386","0.389","0.1","0","within","yes","1.89578761330986"
"MRP","V","STT","0","77","2322","0.145","0.115","0","within","yes","0.19679456193528"
"ESN","L","NHM","0","17","2382","0.482","0.132","0","within","yes","2.2959365559116"
"MRP","V","NLS","0","127","2272","0.213","0.118","0","within","yes","0.62318277946172"
"CND","I","OBI","0","6","2393","0.539","0.095","0","within","yes","2.91255951664214"
"MRP","V","CUL","0","74","2325","0.199","0.095","0","within","yes","0.682221148042304"
"ESN","S","EMB","0","364","2035","0.78","0.176","0","within","yes","3.9621305136303"
"ESN","G","EMG","0","54","2345","0.514","0.2","0","within","yes","2.05978308158926"
"ESN","S","MSD","0","13","2386","0.336","0.157","0","within","yes","1.1742075528805"
"ESN","G","FSM","0","147","2252","0.2","0.115","0","within","yes","0.55758459214996"
"MRP","R","SSC","0","40","2359","0.197","0.115","0","within","yes","0.537905135956432"
"MRP","V","MSL","0","62","2337","0.192","0.123","0","within","yes","0.452627492451144"
"MRP","V","MEC","0","13","2386","0.19","0.11","0.048","within","yes","0.52478549849408"
"ESN","G","MGD","0","47","2352","0.277","0.166","0","within","yes","0.728139879160536"
"MRP","V","IST","0","94","2305","0.254","0.113","0","within","yes","0.924934441095816"
"MRP","V","LEF","0","246","2153","0.222","0.116","0","within","yes","0.695340785504656"
"CND","H","NUT","0","109","2290","0.131","0.093","0","within","yes","0.249273111784688"
"ESN","G","GEM","0","32","2367","0.834","0.246","0","within","yes","3.85717341393149"
"MRP","V","PIG","0","248","2151","0.222","0.12","0","within","yes","0.669101510579952"
"ESN","L","ARC","0","93","2306","0.275","0.111","0","within","yes","1.07581027191286"
"ESN","G","GAM","0","75","2324","0.715","0.224","0","within","yes","3.22087099700742"
"CLB","B","MCH","0","28","2371","0.201","0.087","0","within","yes","0.747819335354064"
"MRP","V","GER","0","60","2339","0.21","0.104","0","within","yes","0.695340785504656"
"MRP","T","LIT","0","146","2253","0.178","0.114","0","within","yes","0.419828398795264"
"MRP","V","ROT","0","199","2200","0.214","0.117","0","within","yes","0.636302416924072"
"MRP","V","TMP","0","71","2328","0.237","0.105","0","within","yes","0.865896072515232"
"MRP","T","SEN","0","39","2360","0.214","0.099","0","within","yes","0.75437915408524"
"CLB","B","PRA","0","124","2275","0.282","0.077","0","within","yes","1.34476283989108"
"MRP","V","TCM","0","97","2302","0.164","0.113","0","within","yes","0.334550755289976"
"MRP","V","all","1","1989","1230","0.131","0.116","0","within","yes","0.09839728096764"
"CLB","B","all","1","357","2058","0.141","0.098","0","within","yes","0.282072205440568"
"MRP","T","all","1","263","2147","0.147","0.107","0","within","yes","0.26239274924704"
"CLB","C","all","1","53","2346","0.264","0.1","0","within","yes","1.07581027191286"
"MRP","R","all","1","73","2326","0.15","0.123","0","within","yes","0.177115105741752"
"ESN","L","all","1","265","2140","0.205","0.126","0","within","yes","0.518225679762904"
"ESN","G","all","1","506","1941","0.214","0.145","0","within","yes","0.452627492451144"
"CND","H","all","1","299","2113","0.151","0.087","0","within","yes","0.419828398795264"
"CND","I","all","1","6","2393","0.539","0.095","0","within","yes","2.91255951664214"
"ESN","S","all","1","377","2022","0.75","0.174","0","within","yes","3.77845558915738"
