"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff"
"MRP","V","HRM","0","152","2247","0.172","0.038","0","within","yes","1.39764114622382"
"CLB","B","CPR","0","68","2331","0.066","0.013","0","within","yes","0.552798363804944"
"MRP","T","MPH","0","18","2381","0.116","0.034","0","within","yes","0.855272940226517"
"CLB","B","PTH","0","137","2262","0.198","0.027","0","within","yes","1.78355698510652"
"MRP","V","SRF","0","197","2202","0.109","0.025","0","within","yes","0.876133255841797"
"CLB","C","RTH","0","53","2346","0.204","0.024","0","within","yes","1.87742840537528"
"MRP","T","MTM","0","7","2392","0.072","0.014","0.008","within","yes","0.604949152843146"
"MRP","R","OVP","0","33","2366","0.104","0.019","0","within","yes","0.886563413649438"
"MRP","V","GRS","0","272","2127","0.08","0.025","0","within","yes","0.573658679420225"
"MRP","T","WAT","0","40","2359","0.234","0.043","0","within","yes","1.99216014125933"
"ESN","L","SRL","0","155","2244","0.199","0.021","0","within","yes","1.85656808976"
"ESN","G","FLT","0","151","2249","0.163","0.021","0","within","yes","1.48108240868494"
"CND","H","CHS","0","190","2209","0.165","0.034","0","within","yes","1.3663506728009"
"MRP","T","CDR","0","13","2386","0.304","0.024","0","within","yes","2.92044418613933"
"MRP","V","STT","0","77","2322","0.075","0.021","0","within","yes","0.563228521612584"
"ESN","L","NHM","0","17","2382","0.431","0.011","0","within","yes","4.38066627920899"
"MRP","V","NLS","0","127","2272","0.087","0.028","0","within","yes","0.615379310650786"
"CND","I","OBI","0","6","2393","0.322","0.042","0","within","yes","2.92044418613933"
"MRP","V","CUL","0","74","2325","0.05","0.026","0","within","yes","0.250323787383371"
"ESN","S","EMB","0","364","2035","0.499","0.027","0","within","yes","4.92303448520629"
"ESN","G","EMG","0","54","2345","0.576","0.076","0","within","yes","5.21507890382022"
"ESN","S","MSD","0","13","2386","0.307","0.047","0","within","yes","2.71184102998652"
"ESN","G","FSM","0","147","2252","0.073","0.024","0","within","yes","0.511077732574382"
"MRP","R","SSC","0","40","2359","0.149","0.018","0","within","yes","1.3663506728009"
"MRP","V","MSL","0","62","2337","0.059","0.026","0","within","yes","0.344195207652135"
"MRP","V","MEC","0","13","2386","0.06","0.03","0.278","within","no","0.312904734229213"
"ESN","G","MGD","0","47","2352","0.225","0.04","0","within","yes","1.92957919441348"
"MRP","V","IST","0","94","2305","0.138","0.025","0","within","yes","1.17860783226337"
"MRP","V","LEF","0","246","2153","0.088","0.024","0","within","yes","0.667530099688989"
"CND","H","NUT","0","109","2290","0.122","0.037","0","within","yes","0.886563413649438"
"ESN","G","GEM","0","32","2367","0.687","0.082","0","within","yes","6.31024547362247"
"MRP","V","PIG","0","248","2151","0.096","0.024","0","within","yes","0.750971362150112"
"ESN","L","ARC","0","93","2306","0.108","0.026","0","within","yes","0.855272940226517"
"ESN","G","GAM","0","75","2324","0.537","0.052","0","within","yes","5.05862653670562"
"CLB","B","MCH","0","28","2371","0.206","0.046","0","within","yes","1.66882524922247"
"MRP","V","GER","0","60","2339","0.107","0.03","0","within","yes","0.803122151188314"
"MRP","T","LIT","0","146","2253","0.117","0.027","0","within","yes","0.93871420268764"
"MRP","V","ROT","0","199","2200","0.101","0.027","0","within","yes","0.771831677765393"
"MRP","V","TMP","0","71","2328","0.168","0.038","0","within","yes","1.35592051499326"
"MRP","T","SEN","0","39","2360","0.145","0.026","0","within","yes","1.24118877910921"
"CLB","B","PRA","0","124","2275","0.146","0.019","0","within","yes","1.32463004157034"
"MRP","V","TCM","0","97","2302","0.072","0.027","0","within","yes","0.46935710134382"
"MRP","V","all","1","1989","1230","0.037","0.024","0","within","yes","0.135592051499326"
"CLB","B","all","1","357","2058","0.073","0.022","0","within","yes","0.531938048189663"
"MRP","T","all","1","263","2147","0.076","0.028","0","within","yes","0.500647574766741"
"CLB","C","all","1","53","2346","0.204","0.024","0","within","yes","1.87742840537528"
"MRP","R","all","1","73","2326","0.078","0.018","0","within","yes","0.625809468458427"
"ESN","L","all","1","265","2140","0.093","0.023","0","within","yes","0.730111046534831"
"ESN","G","all","1","506","1941","0.105","0.032","0","within","yes","0.761401519957753"
"CND","H","all","1","299","2113","0.137","0.03","0","within","yes","1.11602688541753"
"CND","I","all","1","6","2393","0.322","0.042","0","within","yes","2.92044418613933"
"ESN","S","all","1","377","2022","0.476","0.026","0","within","yes","4.6935710134382"
