"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.604","0.097","0","within","yes","4.52691286579906","1"
"ESN","G","GEM","0","32","2367","0.576","0.121","0","within","yes","4.06261411033249","2"
"ESN","G","EMG","0","54","2345","0.449","0.107","0","within","yes","3.05365719941475","3"
"ESN","G","MGD","0","47","2352","0.3","0.094","0","within","yes","1.83933737742526","4"
"ESN","S","EMB","0","364","2035","0.449","0.079","0","within","yes","3.30366422158905","5"
"ESN","S","MSD","0","13","2386","0.31","0.093","0","within","yes","1.93755442185088","6"
"ESN","L","NHM","0","17","2382","0.031","0.04","0","between","yes","-0.0803593999845986","7"
"ESN","L","SRL","0","155","2244","0.167","0.079","0","within","yes","0.785736355404964","8"
"MRP","V","GER","0","60","2339","0.182","0.074","0","within","yes","0.964312799815184","9"
"MRP","V","NLS","0","127","2272","0.145","0.077","0","within","yes","0.607159910994745","10"
"MRP","V","PIG","0","248","2151","0.171","0.083","0","within","yes","0.785736355404964","11"
"MRP","V","GRS","0","272","2127","0.281","0.081","0","within","yes","1.78576444410219","12"
"MRP","V","ROT","0","199","2200","0.16","0.084","0","within","yes","0.678590488758833","13"
"MRP","V","LEF","0","246","2153","0.155","0.082","0","within","yes","0.6518040220973","14"
"MRP","V","IST","0","94","2305","0.207","0.078","0","within","yes","1.15181806644591","15"
"MRP","V","ARC","0","93","2306","0.2","0.077","0","within","yes","1.09824513312285","16"
"MRP","V","MSL","0","62","2337","0.178","0.089","0","within","yes","0.794665177625475","17"
"MRP","R","FSM","0","147","2252","0.131","0.074","0","within","yes","0.508942866569125","18"
"MRP","R","OVP","0","33","2366","0.089","0.06","0","within","yes","0.258935844394818","19"
"MRP","R","SRF","0","197","2202","0.212","0.083","0","within","yes","1.15181806644591","20"
"MRP","R","SSC","0","40","2359","0.192","0.068","0","within","yes","1.10717395534336","21"
"MRP","T","FLT","0","151","2249","0.277","0.069","0","within","yes","1.85719502186628","22"
"MRP","T","SEN","0","39","2360","0.216","0.077","0","within","yes","1.24110628865102","23"
"MRP","T","CDR","0","13","2386","0.223","0.046","0","within","yes","1.58040153303044","24"
"MRP","T","MTM","0","7","2392","0.037","0.032","0.232","within","no","0.0446441111025548","25"
"CLB","C","STT","0","77","2322","0.116","0.068","0","within","yes","0.428583466584526","26"
"CLB","C","RTH","0","53","2346","0.311","0.083","0","within","yes","2.0357714662765","27"
"CLB","C","TCM","0","97","2302","0.123","0.08","0","within","yes","0.383939355481971","28"
"CLB","C","CUL","0","74","2325","0.125","0.069","0","within","yes","0.500014044348614","29"
"CLB","B","PRA","0","124","2275","0.058","0.04","0","within","yes","0.160718799969197","30"
"CLB","B","CPR","0","68","2331","0.045","0.027","0","within","yes","0.160718799969197","31"
"CND","P","WAT","0","40","2359","0.222","0.066","0","within","yes","1.39289626639971","32"
"CND","P","TMP","0","71","2328","0.079","0.054","0","within","yes","0.223220555512774","33"
"CND","P","LIT","0","146","2253","0.143","0.065","0","within","yes","0.696448133199855","34"
"CND","P","MEC","0","13","2386","0.099","0.075","0.576","within","no","0.214291733292263","35"
"CND","P","MPH","0","18","2381","0.122","0.076","0","within","yes","0.410725822143504","36"
"CND","H","NUT","0","109","2290","0.043","0.042","0","within","yes","0.0089288222205109","37"
"CND","H","HRM","0","152","2247","0.28","0.07","0","within","yes","1.8750526663073","38"
"CND","H","CHS","0","190","2209","0.145","0.056","0","within","yes","0.794665177625475","39"
"CND","H","MCH","0","28","2371","0.107","0.046","0","within","yes","0.544658155451168","40"
"CND","I","PTH","0","137","2262","0.086","0.033","0","within","yes","0.473227577687081","41"
"CND","I","OBI","0","6","2393","0.238","0.061","0","within","yes","1.58040153303044","42"
"ESN","G","all","1","208","2202","0.405","0.085","0","within","yes","2.85722311056351","0"
"ESN","S","all","1","377","2022","0.431","0.078","0","within","yes","3.15187424384037","0"
"ESN","L","all","1","172","2228","0.144","0.075","0","within","yes","0.616088733215256","0"
"MRP","V","all","1","1401","1581","0.125","0.069","0","within","yes","0.500014044348614","0"
"MRP","R","all","1","417","2061","0.131","0.074","0","within","yes","0.508942866569125","0"
"MRP","T","all","1","210","2204","0.213","0.065","0","within","yes","1.32146568863562","0"
"CLB","C","all","1","301","2132","0.103","0.074","0","within","yes","0.258935844394818","0"
"CLB","B","all","1","192","2212","0.039","0.036","0","within","yes","0.0267864666615329","0"
"CND","P","all","1","288","2125","0.092","0.063","0","within","yes","0.258935844394818","0"
"CND","H","all","1","479","1982","0.109","0.052","0","within","yes","0.508942866569125","0"
"CND","I","all","1","143","2256","0.086","0.034","0","within","yes","0.46429875546657","0"
