"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff","subset_number"
"ESN","G","GAM","0","75","2324","0.595","0.076","0","within","yes","3.4441880190077","1"
"ESN","G","GEM","0","32","2367","0.697","0.112","0","within","yes","3.88217724685839","2"
"ESN","G","EMG","0","54","2345","0.509","0.104","0","within","yes","2.68766117090196","3"
"ESN","G","MGD","0","47","2352","0.194","0.049","0","within","yes","0.962249061187122","4"
"ESN","S","EMB","0","364","2035","0.78","0.047","0","within","yes","4.86433490931145","5"
"ESN","S","MSD","0","13","2386","0.239","0.051","0","within","yes","1.24760567933227","6"
"ESN","L","NHM","0","17","2382","0.372","0.011","0","within","yes","2.39566835233484","7"
"ESN","L","SRL","0","155","2244","0.247","0.027","0","within","yes","1.45996409283563","8"
"MRP","V","GER","0","60","2339","0.089","0.021","0","within","yes","0.45126162869465","9"
"MRP","V","NLS","0","127","2272","0.076","0.022","0","within","yes","0.358354822786928","10"
"MRP","V","PIG","0","248","2151","0.07","0.025","0","within","yes","0.298629018989107","11"
"MRP","V","GRS","0","272","2127","0.114","0.031","0","within","yes","0.550804635024353","12"
"MRP","V","ROT","0","199","2200","0.076","0.018","0","within","yes","0.384899624474849","13"
"MRP","V","LEF","0","246","2153","0.071","0.02","0","within","yes","0.338446221520988","14"
"MRP","V","IST","0","94","2305","0.052","0.018","0","within","yes","0.225630814347325","15"
"MRP","V","ARC","0","93","2306","0.131","0.017","0","within","yes","0.756526848105737","16"
"MRP","V","MSL","0","62","2337","0.106","0.034","0","within","yes","0.477806430382571","17"
"MRP","R","FSM","0","147","2252","0.048","0.016","0","within","yes","0.212358413503365","18"
"MRP","R","OVP","0","33","2366","0.073","0.012","0","within","yes","0.404808225740789","19"
"MRP","R","SRF","0","197","2202","0.071","0.021","0","within","yes","0.331810021099008","20"
"MRP","R","SSC","0","40","2359","0.095","0.008","0","within","yes","0.577349436712273","21"
"MRP","T","FLT","0","151","2249","0.088","0.022","0","within","yes","0.43798922785069","22"
"MRP","T","SEN","0","39","2360","0.081","0.017","0","within","yes","0.42471682700673","23"
"MRP","T","CDR","0","13","2386","0.274","0.009","0","within","yes","1.75859311182474","24"
"MRP","T","MTM","0","7","2392","0.248","0.004","0.003","within","yes","1.61923290296316","25"
"CLB","C","STT","0","77","2322","0.034","0.01","0","within","yes","0.159268810127524","26"
"CLB","C","RTH","0","53","2346","0.12","0.01","0","within","yes","0.729982046417817","27"
"CLB","C","TCM","0","97","2302","0.034","0.019","0","within","yes","0.0995430063297023","28"
"CLB","C","CUL","0","74","2325","0.037","0.025","0.012","within","yes","0.0796344050637618","29"
"CLB","B","PRA","0","124","2275","0.16","0.013","0","within","yes","0.975521462031082","30"
"CLB","B","CPR","0","68","2331","0.071","0.007","0","within","yes","0.42471682700673","31"
"CND","P","WAT","0","40","2359","0.088","0.022","0","within","yes","0.43798922785069","32"
"CND","P","TMP","0","71","2328","0.069","0.021","0","within","yes","0.318537620255047","33"
"CND","P","LIT","0","146","2253","0.063","0.016","0","within","yes","0.311901419833067","34"
"CND","P","MEC","0","13","2386","0.089","0.013","0.045","within","yes","0.504351232070492","35"
"CND","P","MPH","0","18","2381","0.069","0.03","0","within","yes","0.258811816457226","36"
"CND","H","NUT","0","109","2290","0.088","0.03","0","within","yes","0.384899624474849","37"
"CND","H","HRM","0","152","2247","0.172","0.025","0","within","yes","0.975521462031082","38"
"CND","H","CHS","0","190","2209","0.287","0.033","0","within","yes","1.68559490718296","39"
"CND","H","MCH","0","28","2371","0.412","0.056","0","within","yes","2.36248735022493","40"
"CND","I","PTH","0","137","2262","0.288","0.037","0","within","yes","1.66568630591702","41"
"CND","I","OBI","0","6","2393","0.178","0.026","0.413","within","no","1.00870246414098","42"
"ESN","G","all","1","208","2202","0.392","0.065","0","within","yes","2.17003753798751","0"
"ESN","S","all","1","377","2022","0.742","0.045","0","within","yes","4.62543169412017","0"
"ESN","L","all","1","172","2228","0.208","0.025","0","within","yes","1.21442467722237","0"
"MRP","V","all","1","1401","1581","0.037","0.022","0","within","yes","0.0995430063297023","0"
"MRP","R","all","1","417","2061","0.039","0.017","0","within","yes","0.145996409283563","0"
"MRP","T","all","1","210","2204","0.062","0.019","0","within","yes","0.285356618145147","0"
"CLB","C","all","1","301","2132","0.02","0.017","0","within","yes","0.0199086012659405","0"
"CLB","B","all","1","192","2212","0.08","0.011","0","within","yes","0.457897829116631","0"
"CND","P","all","1","288","2125","0.033","0.019","0","within","yes","0.0929068059077222","0"
"CND","H","all","1","479","1982","0.157","0.017","0","within","yes","0.929068059077222","0"
"CND","I","all","1","143","2256","0.272","0.036","0","within","yes","1.56614329958732","0"
