"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine"
"Cellular and Biochemical","Biochemical","0","CPR","68","2331","0.051","0.007","0","within","yes","0.29462726550587","68","2331","0.067","0.007","0","within","yes","0.400137599576276","68","2331","0.172","0.07","0","within","yes","0.669101510579952","68","2331","-0.506","-0.4","0","between","yes","-0.254680966348752","68","2331","0.065","0.031","0","within","yes","0.29832407713247","68","2331","0.644","0.552","0","within","yes","0.818022685500379","68","2331","0.066","0.013","0","within","yes","0.552798363804944","68","2331","0.103","0.024","0","within","yes","0.561102514644678"
"Cellular and Biochemical","Biochemical","0","MCH","28","2371","0.378","0.054","0","within","yes","2.16952804599777","28","2371","0.084","0.012","0","within","yes","0.480165119491532","28","2371","0.201","0.087","0","within","yes","0.747819335354064","28","2371","-0.495","-0.375","0","between","yes","-0.288318075111795","28","2371","0.055","0.04","0","within","yes","0.131613563440796","28","2371","0.707","0.537","0","within","yes","1.51156365798983","28","2371","0.206","0.046","0","within","yes","1.66882524922247","28","2371","0.355","0.086","0","within","yes","1.91058957518251"
"Cellular and Biochemical","Biochemical","0","PRA","124","2275","0.158","0.013","0","within","yes","0.970930761326163","124","2275","0.063","0.007","0","within","yes","0.373461759604525","124","2275","0.282","0.077","0","within","yes","1.34476283989108","124","2275","-0.511","-0.391","0","between","yes","-0.288318075111795","124","2275","0.074","0.043","0","within","yes","0.272001364444311","124","2275","0.649","0.546","0","within","yes","0.915829745723251","124","2275","0.146","0.019","0","within","yes","1.32463004157034","124","2275","0.252","0.034","0","within","yes","1.54835883788025"
"Cellular and Biochemical","Biochemical","0","PTH","137","2262","0.286","0.036","0","within","yes","1.67401855401063","137","2262","0.02","0.011","0","within","yes","0.0600206399364415","137","2262","0.269","0.126","0","within","yes","0.938054078558168","137","2262","-0.154","-0.201","0","within","yes","0.112924579418786","137","2262","0.132","0.039","0","within","yes","0.816004093332934","137","2262","0.746","0.558","0","within","yes","1.67161157471817","137","2262","0.198","0.027","0","within","yes","1.78355698510652","137","2262","0.336","0.055","0","within","yes","1.99582033690069"
"Cellular and Biochemical","Biochemical","1","all","357","2058","0.1","0.021","0","within","yes","0.528989863067358","357","2058","0.018","0.009","0","within","yes","0.0600206399364415","357","2058","0.141","0.098","0","within","yes","0.282072205440568","357","2058","-0.401","-0.309","0","between","yes","-0.221043857585709","357","2058","0.054","0.039","0","within","yes","0.131613563440796","357","2058","0.624","0.547","0","within","yes","0.6846494215601","357","2058","0.073","0.022","0","within","yes","0.531938048189663","357","2058","0.128","0.043","0","within","yes","0.603717895503767"
"Cellular and Biochemical","Cellular","0","RTH","53","2346","0.12","0.01","0","within","yes","0.736568163764676","53","2346","0.117","0.017","0","within","yes","0.666895999293794","53","2346","0.264","0.1","0","within","yes","1.07581027191286","53","2346","0.088","-0.114","0","within","yes","0.485335426438188","53","2346","0.306","0.086","0","within","yes","1.93033226379834","53","2346","0.702","0.568","0","within","yes","1.19146782453316","53","2346","0.204","0.024","0","within","yes","1.87742840537528","53","2346","0.371","0.049","0","within","yes","2.2870254394378"
"Cellular and Biochemical","Cellular","1","all","53","2346","0.12","0.01","0","within","yes","0.736568163764676","53","2346","0.117","0.017","0","within","yes","0.666895999293794","53","2346","0.264","0.1","0","within","yes","1.07581027191286","53","2346","0.088","-0.114","0","within","yes","0.485335426438188","53","2346","0.306","0.086","0","within","yes","1.93033226379834","53","2346","0.702","0.568","0","within","yes","1.19146782453316","53","2346","0.204","0.024","0","within","yes","1.87742840537528","53","2346","0.371","0.049","0","within","yes","2.2870254394378"
"Conditional","Chemical","0","CHS","190","2209","0.287","0.032","0","within","yes","1.70749892509084","190","2209","0.08","0.02","0","within","yes","0.400137599576276","190","2209","0.194","0.087","0","within","yes","0.701900604235832","190","2209","-0.183","-0.196","0.084","within","no","0.0312344581371111","190","2209","0.119","0.045","0","within","yes","0.649293579641259","190","2209","0.655","0.534","0","within","yes","1.07587766245159","190","2209","0.165","0.034","0","within","yes","1.3663506728009","190","2209","0.302","0.068","0","within","yes","1.66199985350449"
"Conditional","Chemical","0","NUT","109","2290","0.078","0.029","0","within","yes","0.328107636586083","109","2290","0.057","0.024","0","within","yes","0.220075679766952","109","2290","0.131","0.093","0","within","yes","0.249273111784688","109","2290","-0.576","-0.439","0","between","yes","-0.329163135752632","109","2290","0.052","0.04","0","within","yes","0.105290850752637","109","2290","0.638","0.533","0","within","yes","0.933612847581955","109","2290","0.122","0.037","0","within","yes","0.886563413649438","109","2290","0.219","0.07","0","within","yes","1.05828195800072"
"Conditional","Chemical","1","all","299","2113","0.186","0.025","0","within","yes","1.07806794878284","299","2113","0.057","0.02","0","within","yes","0.246751519738704","299","2113","0.151","0.087","0","within","yes","0.419828398795264","299","2113","-0.338","-0.27","0","between","yes","-0.16338024256335","299","2113","0.083","0.043","0","within","yes","0.350969502508789","299","2113","0.638","0.529","0","within","yes","0.969179051299362","299","2113","0.137","0.03","0","within","yes","1.11602688541753","299","2113","0.254","0.059","0","within","yes","1.38499987792041"
