"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff"
"MRP","V","HRM","0","152","2247","0.091","0.022","0","within","yes","0.460158239512718"
"CLB","B","CPR","0","68","2331","0.067","0.007","0","within","yes","0.400137599576276"
"MRP","T","MPH","0","18","2381","0.111","0.034","0","within","yes","0.513509919456221"
"CLB","B","PTH","0","137","2262","0.02","0.011","0","within","yes","0.0600206399364415"
"MRP","V","SRF","0","197","2202","0.204","0.049","0","within","yes","1.03368879890538"
"CLB","C","RTH","0","53","2346","0.117","0.017","0","within","yes","0.666895999293794"
"MRP","T","MTM","0","7","2392","0.131","0.018","0.003","within","yes","0.753592479201987"
"MRP","R","OVP","0","33","2366","0.067","0.032","0","within","yes","0.233413599752828"
"MRP","V","GRS","0","272","2127","0.233","0.047","0","within","yes","1.24042655868646"
"MRP","T","WAT","0","40","2359","0.235","0.024","0","within","yes","1.40715055850991"
"ESN","L","SRL","0","155","2244","0.387","0.053","0","within","yes","2.22743263764127"
"ESN","G","FLT","0","151","2249","0.287","0.04","0","within","yes","1.64723311825567"
"CND","H","CHS","0","190","2209","0.08","0.02","0","within","yes","0.400137599576276"
"MRP","T","CDR","0","13","2386","0.156","0.018","0","within","yes","0.920316479025436"
"MRP","V","STT","0","77","2322","0.065","0.041","0","within","yes","0.160055039830511"
"ESN","L","NHM","0","17","2382","0.393","0.02","0","within","yes","2.48752207736585"
"MRP","V","NLS","0","127","2272","0.142","0.048","0","within","yes","0.626882239336166"
"CND","I","OBI","0","6","2393","0.281","0.024","0","within","yes","1.71392271818505"
"MRP","V","CUL","0","74","2325","0.07","0.034","0","within","yes","0.240082559745766"
"ESN","S","EMB","0","364","2035","0.796","0.07","0","within","yes","4.84166495487294"
"ESN","G","EMG","0","54","2345","0.708","0.14","0","within","yes","3.78796927598875"
"ESN","S","MSD","0","13","2386","0.419","0.088","0","within","yes","2.20742575766246"
"ESN","G","FSM","0","147","2252","0.124","0.048","0","within","yes","0.506840959463283"
"MRP","R","SSC","0","40","2359","0.143","0.04","0","within","yes","0.686902879272608"
"MRP","V","MSL","0","62","2337","0.157","0.052","0","within","yes","0.700240799258484"
"MRP","V","MEC","0","13","2386","0.117","0.03","0.053","within","no","0.580199519385601"
"ESN","G","MGD","0","47","2352","0.29","0.097","0","within","yes","1.28710927863702"
"MRP","V","IST","0","94","2305","0.198","0.049","0","within","yes","0.993675038947753"
"MRP","V","LEF","0","246","2153","0.167","0.047","0","within","yes","0.800275199152553"
"CND","H","NUT","0","109","2290","0.057","0.024","0","within","yes","0.220075679766952"
"ESN","G","GEM","0","32","2367","0.874","0.168","0","within","yes","4.70828575501419"
"MRP","V","PIG","0","248","2151","0.182","0.049","0","within","yes","0.886971679060746"
"ESN","L","ARC","0","93","2306","0.186","0.044","0","within","yes","0.946992318997187"
"ESN","G","GAM","0","75","2324","0.741","0.135","0","within","yes","4.04138975572039"
"CLB","B","MCH","0","28","2371","0.084","0.012","0","within","yes","0.480165119491532"
"MRP","V","GER","0","60","2339","0.155","0.042","0","within","yes","0.753592479201987"
"MRP","T","LIT","0","146","2253","0.106","0.037","0","within","yes","0.460158239512718"
"MRP","V","ROT","0","199","2200","0.148","0.043","0","within","yes","0.700240799258484"
"MRP","V","TMP","0","71","2328","0.151","0.032","0","within","yes","0.793606239159615"
"MRP","T","SEN","0","39","2360","0.159","0.038","0","within","yes","0.806944159145491"
"CLB","B","PRA","0","124","2275","0.063","0.007","0","within","yes","0.373461759604525"
"MRP","V","TCM","0","97","2302","0.101","0.05","0","within","yes","0.340116959639835"
"MRP","V","all","1","1989","1230","0.07","0.029","0","within","yes","0.273427359710456"
"CLB","B","all","1","357","2058","0.018","0.009","0","within","yes","0.0600206399364415"
"MRP","T","all","1","263","2147","0.074","0.033","0","within","yes","0.273427359710456"
"CLB","C","all","1","53","2346","0.117","0.017","0","within","yes","0.666895999293794"
"MRP","R","all","1","73","2326","0.074","0.037","0","within","yes","0.246751519738704"
"ESN","L","all","1","265","2140","0.187","0.047","0","within","yes","0.933654399011312"
"ESN","G","all","1","506","1941","0.174","0.072","0","within","yes","0.68023391927967"
"CND","H","all","1","299","2113","0.057","0.02","0","within","yes","0.246751519738704"
"CND","I","all","1","6","2393","0.281","0.024","0","within","yes","1.71392271818505"
"ESN","S","all","1","377","2022","0.763","0.068","0","within","yes","4.63492719509187"
