"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff"
"MRP","V","HRM","0","152","2247","0.646","0.529","0","within","yes","1.04031145873418"
"CLB","B","CPR","0","68","2331","0.644","0.552","0","within","yes","0.818022685500379"
"MRP","T","MPH","0","18","2381","0.571","0.537","0","within","yes","0.302312731597966"
"CLB","B","PTH","0","137","2262","0.746","0.558","0","within","yes","1.67161157471817"
"MRP","V","SRF","0","197","2202","0.635","0.565","0","within","yes","0.622408565054637"
"CLB","C","RTH","0","53","2346","0.702","0.568","0","within","yes","1.19146782453316"
"MRP","T","MTM","0","7","2392","0.634","0.558","0","within","yes","0.675757870630748"
"MRP","R","OVP","0","33","2366","0.681","0.592","0","within","yes","0.791348032712324"
"MRP","V","GRS","0","272","2127","0.593","0.561","0","within","yes","0.284529629739262"
"MRP","T","WAT","0","40","2359","0.685","0.546","0","within","yes","1.23592557917992"
"ESN","L","SRL","0","155","2244","0.701","0.583","0","within","yes","1.04920300966353"
"ESN","G","FLT","0","151","2249","0.686","0.542","0","within","yes","1.28038333382668"
"CND","H","CHS","0","190","2209","0.655","0.534","0","within","yes","1.07587766245159"
"MRP","T","CDR","0","13","2386","0.744","0.538","0","within","yes","1.8316594914465"
"MRP","V","STT","0","77","2322","0.651","0.572","0","within","yes","0.702432523418805"
"ESN","L","NHM","0","17","2382","0.795","0.576","0","within","yes","1.94724965352808"
"MRP","V","NLS","0","127","2272","0.637","0.568","0","within","yes","0.613517014125285"
"CND","I","OBI","0","6","2393","0.779","0.56","0","within","yes","1.94724965352808"
"MRP","V","CUL","0","74","2325","0.619","0.567","0","within","yes","0.462360648326302"
"ESN","S","EMB","0","364","2035","0.793","0.571","0","within","yes","1.97392430631613"
"ESN","G","EMG","0","54","2345","0.891","0.592","0","within","yes","2.65857372787623"
"ESN","S","MSD","0","13","2386","0.753","0.584","0","within","yes","1.50267210706048"
"ESN","G","FSM","0","147","2252","0.636","0.558","0","within","yes","0.693540972489452"
"MRP","R","SSC","0","40","2359","0.675","0.568","0","within","yes","0.95139594944066"
"MRP","V","MSL","0","62","2337","0.599","0.565","0","within","yes","0.302312731597967"
"MRP","V","MEC","0","13","2386","0.576","0.556","0.403","within","no","0.177831018587038"
"ESN","G","MGD","0","47","2352","0.725","0.576","0","within","yes","1.32484108847344"
"MRP","V","IST","0","94","2305","0.678","0.559","0","within","yes","1.05809456059288"
"MRP","V","LEF","0","246","2153","0.635","0.56","0","within","yes","0.666866319701396"
"CND","H","NUT","0","109","2290","0.638","0.533","0","within","yes","0.933612847581955"
"ESN","G","GEM","0","32","2367","0.938","0.588","0","within","yes","3.11204282527318"
"MRP","V","PIG","0","248","2151","0.658","0.566","0","within","yes","0.81802268550038"
"ESN","L","ARC","0","93","2306","0.653","0.558","0","within","yes","0.844697338288435"
"ESN","G","GAM","0","75","2324","0.892","0.561","0","within","yes","2.9431033576155"
"CLB","B","MCH","0","28","2371","0.707","0.537","0","within","yes","1.51156365798983"
"MRP","V","GER","0","60","2339","0.646","0.574","0","within","yes","0.640191666913341"
"MRP","T","LIT","0","146","2253","0.631","0.535","0","within","yes","0.853588889217787"
"MRP","V","ROT","0","199","2200","0.625","0.558","0","within","yes","0.59573391226658"
"MRP","V","TMP","0","71","2328","0.679","0.547","0","within","yes","1.17368472267446"
"MRP","T","SEN","0","39","2360","0.649","0.559","0","within","yes","0.800239583641675"
"CLB","B","PRA","0","124","2275","0.649","0.546","0","within","yes","0.915829745723251"
"MRP","V","TCM","0","97","2302","0.62","0.561","0","within","yes","0.524601504831765"
"MRP","V","all","1","1989","1230","0.572","0.558","0","within","yes","0.124481713010926"
"CLB","B","all","1","357","2058","0.624","0.547","0","within","yes","0.6846494215601"
"MRP","T","all","1","263","2147","0.585","0.541","0","within","yes","0.391228240891485"
"CLB","C","all","1","53","2346","0.702","0.568","0","within","yes","1.19146782453316"
"MRP","R","all","1","73","2326","0.637","0.578","0","within","yes","0.524601504831765"
"ESN","L","all","1","265","2140","0.632","0.573","0","within","yes","0.524601504831765"
"ESN","G","all","1","506","1941","0.625","0.554","0","within","yes","0.631300115983988"
"CND","H","all","1","299","2113","0.638","0.529","0","within","yes","0.969179051299362"
"CND","I","all","1","6","2393","0.779","0.56","0","within","yes","1.94724965352808"
"ESN","S","all","1","377","2022","0.785","0.57","0","within","yes","1.91168344981067"
