"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff"
"MRP","V","HRM","0","152","2247","0.151","0.054","0","within","yes","0.851101043583813"
"CLB","B","CPR","0","68","2331","0.065","0.031","0","within","yes","0.29832407713247"
"MRP","T","MPH","0","18","2381","0.109","0.07","0","within","yes","0.342195264946069"
"CLB","B","PTH","0","137","2262","0.132","0.039","0","within","yes","0.816004093332934"
"MRP","V","SRF","0","197","2202","0.172","0.071","0","within","yes","0.886197993834691"
"CLB","C","RTH","0","53","2346","0.306","0.086","0","within","yes","1.93033226379834"
"MRP","T","MTM","0","7","2392","0.03","0.041","0.48","between","no","-0.0965166131899169"
"MRP","R","OVP","0","33","2366","0.044","0.044","0","between","yes","0"
"MRP","V","GRS","0","272","2127","0.135","0.075","0","within","yes","0.526454253763183"
"MRP","T","WAT","0","40","2359","0.157","0.057","0","within","yes","0.877423756271972"
"ESN","L","SRL","0","155","2244","0.099","0.058","0","within","yes","0.359743740071508"
"ESN","G","FLT","0","151","2249","0.258","0.064","0","within","yes","1.70220208716763"
"CND","H","CHS","0","190","2209","0.119","0.045","0","within","yes","0.649293579641259"
"MRP","T","CDR","0","13","2386","0.236","0.044","0","within","yes","1.68465361204219"
"MRP","V","STT","0","77","2322","0.109","0.065","0","within","yes","0.386066452759668"
"ESN","L","NHM","0","17","2382","0.068","0.037","0.008","within","yes","0.272001364444311"
"MRP","V","NLS","0","127","2272","0.139","0.075","0","within","yes","0.561551204014062"
"CND","I","OBI","0","6","2393","0.302","0.062","0","within","yes","2.10581701505273"
"MRP","V","CUL","0","74","2325","0.133","0.068","0","within","yes","0.570325441576782"
"ESN","S","EMB","0","364","2035","0.572","0.086","0","within","yes","4.26427945548178"
"ESN","G","EMG","0","54","2345","0.522","0.139","0","within","yes","3.36053298652165"
"ESN","S","MSD","0","13","2386","0.267","0.108","0","within","yes","1.39510377247244"
"ESN","G","FSM","0","147","2252","0.122","0.07","0","within","yes","0.456260353261425"
"MRP","R","SSC","0","40","2359","0.199","0.067","0","within","yes","1.158199358279"
"MRP","V","MSL","0","62","2337","0.101","0.076","0","within","yes","0.219355939067993"
"MRP","V","MEC","0","13","2386","0.059","0.061","0.244","between","no","-0.0175484751254395"
"ESN","G","MGD","0","47","2352","0.322","0.088","0","within","yes","2.05317158967641"
"MRP","V","IST","0","94","2305","0.199","0.077","0","within","yes","1.07045698265181"
"MRP","V","LEF","0","246","2153","0.129","0.074","0","within","yes","0.482583065949585"
"CND","H","NUT","0","109","2290","0.052","0.04","0","within","yes","0.105290850752637"
"ESN","G","GEM","0","32","2367","0.647","0.135","0","within","yes","4.4924096321125"
"MRP","V","PIG","0","248","2151","0.144","0.071","0","within","yes","0.640519342078539"
"ESN","L","ARC","0","93","2306","0.191","0.071","0","within","yes","1.05290850752637"
"ESN","G","GAM","0","75","2324","0.617","0.097","0","within","yes","4.56260353261425"
"CLB","B","MCH","0","28","2371","0.055","0.04","0","within","yes","0.131613563440796"
"MRP","V","GER","0","60","2339","0.176","0.067","0","within","yes","0.956391894336449"
"MRP","T","LIT","0","146","2253","0.138","0.064","0","within","yes","0.649293579641259"
"MRP","V","ROT","0","199","2200","0.155","0.08","0","within","yes","0.658067817203979"
"MRP","V","TMP","0","71","2328","0.121","0.057","0","within","yes","0.561551204014062"
"MRP","T","SEN","0","39","2360","0.212","0.073","0","within","yes","1.21961902121804"
"CLB","B","PRA","0","124","2275","0.074","0.043","0","within","yes","0.272001364444311"
"MRP","V","TCM","0","97","2302","0.11","0.074","0","within","yes","0.31587255225791"
"MRP","V","all","1","1989","1230","0.082","0.064","0","within","yes","0.157936276128955"
"CLB","B","all","1","357","2058","0.054","0.039","0","within","yes","0.131613563440796"
"MRP","T","all","1","263","2147","0.096","0.063","0","within","yes","0.289549839569751"
"CLB","C","all","1","53","2346","0.306","0.086","0","within","yes","1.93033226379834"
"MRP","R","all","1","73","2326","0.096","0.057","0","within","yes","0.342195264946069"
"ESN","L","all","1","265","2140","0.086","0.062","0","within","yes","0.210581701505273"
"ESN","G","all","1","506","1941","0.164","0.077","0","within","yes","0.763358667956616"
"CND","H","all","1","299","2113","0.083","0.043","0","within","yes","0.350969502508789"
"CND","I","all","1","6","2393","0.302","0.062","0","within","yes","2.10581701505273"
"ESN","S","all","1","377","2022","0.55","0.085","0","within","yes","4.08002046666467"
