Text,Method,\textit{c1},,\textit{r1},,\textit{b1},
,,Rank,Similarity,Rank,Similarity,Rank,Similarity
Both,PPN,1,1.000,4,0.667,10,0.500
Phenotypes,EQs S1,1,1.000,62,0.000,62,0.000
Phenotypes,EQs S2,1,1.000,2059,0.036,974,0.084
Phenotypes,Doc2Vec,1,0.969,2106,0.521,11,0.701
Phenotypes,Set of Words,1,1.000,140,0.048,10,0.115
Phenotypes,Bag of Words,1,1.000,288,0.084,9,0.242
Phenes,EQs S1,1,1.000,754,0.029,81,0.099
Phenes,EQs S2,1,1.000,1969,0.035,283,0.101
Phenes,Doc2Vec,1,0.952,1918,0.541,691,0.624
Phenes,Set of Words,1,1.000,31,0.000,17,0.143
Phenes,Bag of Words,1,1.000,31,0.000,20,0.258
