Gene Name (Symbol),B73 RefGen_v3 ID,Functional Category,,
\texit{colorless2} (\textit{c2}),GRMZM2G422750,Enzyme,,
\textit{chalcone flavonone isomeras1} \textit{chi1},GRMZM2G155329,Enzyme,,
\textit{red aleurone1} \textit{pr1},GRMZM2G025832,Enzyme,,
\textit{flavanone 3-hydroxylase1} \textit{(fht1; F3H)},GRMZM2G062396,Enzyme,,
\textit{anthocyaninless1} \textit{a1},GRMZM2G026930,Enzyme,,
\textit{anthocyaninless2} \textit{a2},GRMZM2G345717,Enzyme,,
\textit{bronze1} \textit{bz1},GRMZM2G165390,Enzyme,,
\textit{bronze2} \textit{bz2},GRMZM2G016241,Enzyme,,
\textit{multidrug resistance associated protein3} \textit{mrpa3; ZmMrp4},GRMZM2G111903,Transporter,,
\textit{scutellar node color1} (\),,,,
,,,,
,,,,
,,,,
,,,,
,,,,
\textit{colorless1} \textit{c1},GRMZM2G005066,Transcription Factor,,
\textit{pericarp color1} \textit{p1},GRMZM2G084799,Transcription Factor,,
\textit{purple plant1} \textit{pl1},GRMZM2G701063,Transcription Factor,,
\textit{colored1} \textit{r1},GRMZM5G822829,Transcription Factor,,
\textit{colored plant1} \textit{b1},GRMZM2G172795,Transcription Factor,,
,,,,
,,,,
,,,,
scutellar node color1 (sn1),bHLH,X60706,GRMZM5G822829 ,
colorless1 (c1),R2 R3-MYB,"100,281,156,100,285,000,000,000,000,000,000,000,000",GRMZM2G005066,
pericarp color1 (p1),R2 R3-MYB,542272,GRMZM2G084799,yes
purple plant1 (pl1),R2 R3-MYB,732799,GRMZM2G701063,no
colored1 (r1),bHLH,100126972,GRMZM5G822829,no
colored plant1 (b1),bHLH,103646088,GRMZM2G172795,no
pale aleurone color1 (pac1),WD40,"100,285,351,103,627,000",GRMZM2G058432,yes
bronze1 (bz1),UDP glucose flavonol 3-O-glucosyl transferase,732800,GRMZM2G345717,yes
bronze2 (bz2),Glutathione-S-transferase,100502255,GRMZM2G165390,yes
multidrug resistance-associated protein3 (mrpa3; ZmMrp4),Multidrug resistance-like transporter,100125659,GRMZM2G016241,yes
scutellar node color1 (sn1),bHLH,X60706,GRMZM2G111903,no
colorless1 (c1),R2 R3-MYB,"100,281,156,100,285,000,000,000,000,000,000,000,000",GRMZM5G822829 ,no
pericarp color1 (p1),R2 R3-MYB,542272,GRMZM2G005066,yes
purple plant1 (pl1),R2 R3-MYB,732799,GRMZM2G084799,yes
colored1 (r1),bHLH,100126972,GRMZM2G701063,yes
colored plant1 (b1),bHLH,103646088,GRMZM5G822829,yes
pale aleurone color1 (pac1),WD40,"100,285,351,103,627,000",GRMZM2G172795,yes
,,,GRMZM2G058432,no
