,,,,,Curated Eqs,,,Predicted Eqs,,,Doc2Vec,,
Group,Class,Subset,Num. In,Num. Out,Avg. Within,Avg. Between,$p$,Avg. Within,Avg. Between,$p$,Avg. Within,Avg. Between,$p$
Cellular and Biochemical,Biochemical,CPR,68,2331,0.190,0.070,0.00,0.053,0.038,0.00,0.068,0.037,0.00
Cellular and Biochemical,Biochemical,MCH,28,2371,0.205,0.087,0.00,0.181,0.066,0.00,0.073,0.036,0.00
Cellular and Biochemical,Biochemical,PRA,124,2275,0.281,0.077,0.00,0.081,0.045,0.00,0.055,0.037,0.00
Cellular and Biochemical,Biochemical,PTH,137,2262,0.270,0.124,0.00,0.011,0.027,0.00,0.098,0.038,0.00
Cellular and Biochemical,Cellular,RTH,53,2346,0.263,0.099,0.00,0.253,0.086,0.00,0.094,0.040,0.00
Conditional,Chemical,CHS,190,2209,0.191,0.086,0.00,0.157,0.058,0.00,0.055,0.035,0.00
Conditional,Chemical,NUT,109,2290,0.136,0.091,0.00,0.123,0.056,0.00,0.056,0.036,0.00
Conditional,Biological,OBI,6,2393,0.539,0.094,0.00,0.009,0.042,0.49,0.161,0.038,0.00
Essential,Gametophyte,EMG,54,2345,0.511,0.196,0.00,0.453,0.136,0.00,0.327,0.054,0.00
Essential,Gametophyte,FLT,151,2249,0.311,0.097,0.00,0.308,0.083,0.00,0.073,0.039,0.00
Essential,Gametophyte,FSM,147,2252,0.200,0.113,0.00,0.171,0.094,0.00,0.059,0.040,0.00
Essential,Gametophyte,GAM,75,2324,0.713,0.219,0.00,0.711,0.103,0.00,0.288,0.046,0.00
Essential,Gametophyte,GEM,32,2367,0.834,0.241,0.00,0.599,0.125,0.00,0.432,0.056,0.00
Essential,Gametophyte,MGD,47,2352,0.275,0.163,0.00,0.380,0.109,0.00,0.098,0.044,0.00
Essential,Lethal,ARC,93,2306,0.272,0.110,0.00,0.244,0.097,0.00,0.058,0.040,0.00
Essential,Lethal,NHM,17,2382,0.557,0.129,0.00,0.020,0.036,0.00,0.172,0.040,0.00
Essential,Lethal,SRL,155,2244,0.444,0.107,0.00,0.117,0.073,0.00,0.093,0.042,0.00
Essential,Embryo / Seed,EMB,364,2035,0.752,0.171,0.00,0.525,0.099,0.00,0.135,0.040,0.00
Essential,Embryo / Seed,MSD,13,2386,0.336,0.154,0.00,0.291,0.127,0.00,0.156,0.046,0.00
Morphological,Reproductive,OVP,33,2366,0.193,0.128,0.00,0.110,0.080,0.00,0.091,0.043,0.00
Morphological,Reproductive,SSC,40,2359,0.198,0.113,0.00,0.229,0.089,0.00,0.084,0.040,0.00
Morphological,Timing,CDR,13,2386,0.396,0.099,0.00,0.054,0.046,0.01,0.125,0.035,0.00
Morphological,Timing,LIT,146,2253,0.177,0.113,0.00,0.238,0.082,0.00,0.053,0.038,0.00
Morphological,Timing,MPH,18,2381,0.161,0.110,0.01,0.128,0.091,0.00,0.052,0.036,0.00
Morphological,Timing,MTM,7,2392,0.267,0.086,0.02,0.023,0.030,0.26,0.068,0.038,0.00
Morphological,Timing,SEN,39,2360,0.212,0.098,0.00,0.229,0.091,0.00,0.060,0.039,0.00
Morphological,Timing,WAT,40,2359,0.330,0.091,0.00,0.083,0.070,0.00,0.073,0.037,0.00
Morphological,Vegetative,CUL,74,2325,0.197,0.094,0.00,0.147,0.074,0.00,0.059,0.040,0.00
Morphological,Vegetative,GER,60,2339,0.206,0.103,0.00,0.170,0.086,0.00,0.060,0.041,0.00
Morphological,Vegetative,GRS,272,2127,0.210,0.123,0.00,0.209,0.098,0.00,0.045,0.039,0.00
Morphological,Vegetative,HRM,152,2247,0.314,0.074,0.00,0.299,0.058,0.00,0.054,0.034,0.00
Morphological,Vegetative,IST,94,2305,0.252,0.112,0.00,0.284,0.099,0.00,0.071,0.041,0.00
Morphological,Vegetative,LEF,246,2153,0.220,0.115,0.00,0.199,0.097,0.00,0.054,0.040,0.00
Morphological,Vegetative,MEC,13,2386,0.211,0.109,0.00,0.087,0.066,0.34,0.058,0.039,0.04
Morphological,Vegetative,MSL,62,2337,0.189,0.121,0.00,0.160,0.096,0.00,0.051,0.040,0.00
Morphological,Vegetative,NLS,127,2272,0.211,0.116,0.00,0.185,0.093,0.00,0.055,0.041,0.00
Morphological,Vegetative,PIG,248,2151,0.226,0.115,0.00,0.177,0.086,0.00,0.065,0.040,0.00
Morphological,Vegetative,ROT,199,2200,0.211,0.116,0.00,0.203,0.092,0.00,0.051,0.039,0.00
Morphological,Vegetative,SRF,197,2202,0.284,0.119,0.00,0.266,0.099,0.00,0.058,0.040,0.00
Morphological,Vegetative,STT,77,2322,0.144,0.113,0.00,0.146,0.090,0.00,0.062,0.040,0.00
Morphological,Vegetative,TCM,97,2302,0.162,0.111,0.00,0.132,0.088,0.00,0.054,0.040,0.00
Morphological,Vegetative,TMP,71,2328,0.231,0.103,0.00,0.141,0.079,0.00,0.066,0.038,0.00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
